NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	651	-0.23478457	---	---	1.0	0.0	6482	tags=41%, list=32%, signal=58%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	615	-0.19877142	---	---	1.0	0.0	5810	tags=34%, list=28%, signal=46%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	713	-0.22044362	---	---	1.0	0.0	4767	tags=31%, list=23%, signal=39%	
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	Details ...	424	-0.19294408	---	---	1.0	0.0	5878	tags=39%, list=29%, signal=54%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	1364	-0.15271032	---	---	1.0	0.0	5557	tags=32%, list=27%, signal=42%	
REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELL_CYCLE_MITOTIC	Details ...	527	-0.24665941	---	---	1.0	0.0	6740	tags=44%, list=33%, signal=63%	
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Details ...	363	-0.13555251	---	---	1.0	0.0	3577	tags=18%, list=18%, signal=21%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	1320	-0.18242769	---	---	1.0	0.0	5567	tags=35%, list=27%, signal=45%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	703	-0.23164491	---	---	1.0	0.0	6173	tags=34%, list=30%, signal=48%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Details ...	765	-0.13472538	---	---	1.0	0.0	4113	tags=21%, list=20%, signal=25%	
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	Details ...	685	-0.1999133	---	---	1.0	0.0	4251	tags=26%, list=21%, signal=31%	
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	Details ...	55	-0.6312913	-2.5627315	0.0	0.0	0.0	4585	tags=62%, list=22%, signal=79%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	42	-0.6650123	-2.5463848	0.0	0.0	0.0	3938	tags=64%, list=19%, signal=79%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.49601752	-2.248598	0.0	0.0015189699	0.009	7181	tags=69%, list=35%, signal=105%	
