NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	68	0.7882748	2.497026	0.0	0.0	0.0	2280	tags=65%, list=11%, signal=73%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	68	0.7810651	2.486947	0.0	0.0	0.0	2330	tags=69%, list=11%, signal=78%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	60	0.79773015	2.4835637	0.0	0.0	0.0	2280	tags=68%, list=11%, signal=77%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	81	0.7348798	2.3800585	0.0	0.0	0.0	2280	tags=57%, list=11%, signal=64%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	0.7498043	2.3724856	0.0	0.0	0.0	2280	tags=64%, list=11%, signal=72%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	70	0.7479546	2.3684607	0.0	0.0	0.0	2280	tags=56%, list=11%, signal=62%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	0.70521986	2.3212209	0.0	0.0	0.0	2330	tags=51%, list=11%, signal=57%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	86	0.7087979	2.3054762	0.0	0.0	0.0	2280	tags=45%, list=11%, signal=51%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.71247876	2.3037198	0.0	0.0	0.0	2280	tags=58%, list=11%, signal=66%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	85	0.70400965	2.2793865	0.0	0.0	0.0	2280	tags=48%, list=11%, signal=54%	
