NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	44	0.87446415	2.7560985	0.0	0.0	0.0	1201	tags=75%, list=6%, signal=79%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	166	0.6963697	2.638304	0.0	0.0	0.0	3259	tags=62%, list=15%, signal=73%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	53	0.80092233	2.6178086	0.0	0.0	0.0	3019	tags=74%, list=14%, signal=85%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	Details ...	90	0.7433458	2.5959425	0.0	0.0	0.0	2190	tags=50%, list=10%, signal=55%	
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Details ...	105	0.7058886	2.5616543	0.0	0.0	0.0	3354	tags=59%, list=16%, signal=70%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	471	0.6040253	2.4959729	0.0	0.0	0.0	2485	tags=31%, list=12%, signal=35%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	22	0.91284734	2.4891546	0.0	0.0	0.0	1456	tags=82%, list=7%, signal=88%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	103	0.674747	2.4354684	0.0	0.0	0.0	5719	tags=80%, list=27%, signal=108%	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	676	0.5816713	2.4321227	0.0	0.0	0.0	2851	tags=33%, list=13%, signal=37%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	439	0.5815639	2.3989015	0.0	0.0	0.0	3356	tags=37%, list=16%, signal=43%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	33	0.82176423	2.3890834	0.0	0.0	0.0	1612	tags=67%, list=8%, signal=72%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	175	0.6208173	2.3591914	0.0	0.0	0.0	4237	tags=52%, list=20%, signal=64%	
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	Details ...	185	0.609813	2.3378706	0.0	0.0	0.0	2543	tags=30%, list=12%, signal=33%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	72	0.6928728	2.3299778	0.0	0.0	0.0	5115	tags=78%, list=24%, signal=102%	
REACTOME_DAP12_INTERACTIONS	REACTOME_DAP12_INTERACTIONS	Details ...	37	0.7805842	2.3244708	0.0	0.0	0.0	1958	tags=51%, list=9%, signal=56%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	64	0.68965465	2.3132985	0.0	0.0	0.0	5826	tags=86%, list=27%, signal=118%	
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Details ...	104	0.64129287	2.310831	0.0	0.0	0.0	2080	tags=28%, list=10%, signal=31%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	64	0.68974173	2.3057594	0.0	0.0	0.0	5115	tags=77%, list=24%, signal=100%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	1026	0.5392975	2.280044	0.0	0.0	0.0	3259	tags=32%, list=15%, signal=36%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	64	0.67905354	2.2699115	0.0	0.0	0.0	5115	tags=75%, list=24%, signal=98%	
REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING		115	0.6225835	2.2684083	0.0	0.0	0.0	1612	tags=24%, list=8%, signal=26%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS		92	0.6469698	2.263084	0.0	0.0	0.0	5115	tags=68%, list=24%, signal=90%	
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION		26	0.7921306	2.260575	0.0	0.0	0.0	2359	tags=58%, list=11%, signal=65%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS		73	0.65403116	2.249631	0.0	0.0	0.0	4122	tags=58%, list=19%, signal=71%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY		68	0.66331685	2.2339866	0.0	0.0	0.0	2000	tags=35%, list=9%, signal=39%	
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS		28	0.76204616	2.210403	0.0	0.0	0.0	1774	tags=46%, list=8%, signal=51%	
REACTOME_DISEASES_OF_IMMUNE_SYSTEM	REACTOME_DISEASES_OF_IMMUNE_SYSTEM		31	0.7584071	2.2037222	0.0	0.0	0.0	2359	tags=55%, list=11%, signal=62%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION		56	0.6697713	2.1816518	0.0	0.0	0.0	6668	tags=91%, list=31%, signal=132%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING		60	0.65976	2.1584668	0.0	0.0	0.0	3578	tags=43%, list=17%, signal=52%	
REACTOME_REGULATED_NECROSIS	REACTOME_REGULATED_NECROSIS		59	0.64893264	2.1207473	0.0	3.050286E-5	0.001	2223	tags=34%, list=10%, signal=38%	
REACTOME_IRAK4_DEFICIENCY_TLR2_4	REACTOME_IRAK4_DEFICIENCY_TLR2_4		18	0.8204339	2.1141331	0.0	5.843697E-5	0.002	1994	tags=61%, list=9%, signal=67%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION		65	0.62792933	2.1126306	0.0	8.450178E-5	0.003	6100	tags=78%, list=29%, signal=109%	
