NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	-0.8203751	-2.9204135	0.0	0.0	0.0	2459	tags=82%, list=12%, signal=93%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	-0.75968605	-2.8634975	0.0	0.0	0.0	2459	tags=61%, list=12%, signal=69%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	-0.78053457	-2.8077133	0.0	0.0	0.0	2459	tags=73%, list=12%, signal=83%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	-0.78092307	-2.8036592	0.0	0.0	0.0	2459	tags=75%, list=12%, signal=85%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	-0.7340257	-2.7335515	0.0	0.0	0.0	2459	tags=60%, list=12%, signal=68%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	-0.7322962	-2.7312713	0.0	0.0	0.0	2459	tags=60%, list=12%, signal=68%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	-0.7338185	-2.7010958	0.0	0.0	0.0	3419	tags=71%, list=16%, signal=84%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	70	-0.7338968	-2.6359713	0.0	0.0	0.0	2459	tags=76%, list=12%, signal=86%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	94	-0.69682443	-2.6350567	0.0	0.0	0.0	2069	tags=55%, list=10%, signal=61%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	78	-0.71598876	-2.6175656	0.0	0.0	0.0	2069	tags=69%, list=10%, signal=77%	
