NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	65	0.6629665	2.2958958	0.0	0.0	0.0	3145	tags=54%, list=17%, signal=65%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	42	0.6937149	2.2285259	0.0	0.0	0.0	3072	tags=60%, list=17%, signal=71%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	43	0.6772127	2.2002842	0.0	0.0	0.0	3606	tags=65%, list=19%, signal=81%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Details ...	87	0.59876865	2.1347957	0.0	3.181699E-4	0.002	3145	tags=47%, list=17%, signal=56%	
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	Details ...	208	0.54192907	2.1190512	0.0	2.5453593E-4	0.002	3772	tags=47%, list=20%, signal=58%	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	Details ...	39	0.6712933	2.0909536	0.0	3.176298E-4	0.003	4752	tags=77%, list=26%, signal=103%	
REACTOME_GPCR_LIGAND_BINDING	REACTOME_GPCR_LIGAND_BINDING	Details ...	291	0.52045465	2.0661595	0.0	7.2458433E-4	0.008	3612	tags=42%, list=19%, signal=51%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	71	0.58782864	2.0571518	0.0	7.111025E-4	0.009	5017	tags=66%, list=27%, signal=90%	
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Details ...	127	0.5458029	2.0547564	0.0	7.038928E-4	0.01	3428	tags=46%, list=18%, signal=57%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	285	0.514959	2.0533082	0.0	6.335035E-4	0.01	3760	tags=46%, list=20%, signal=57%	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	Details ...	59	0.5939601	2.0226007	0.0	0.0013828281	0.024	3716	tags=54%, list=20%, signal=68%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	111	0.52705204	1.9610711	0.0	0.00448373	0.082	2737	tags=38%, list=15%, signal=44%	
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	Details ...	37	0.62406933	1.9542594	0.0	0.00447866	0.089	2323	tags=51%, list=13%, signal=59%	
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	Details ...	21	0.70127356	1.9443487	0.0	0.0052874447	0.111	3772	tags=62%, list=20%, signal=78%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	81	0.54614997	1.9365519	0.0	0.0056952597	0.126	5241	tags=64%, list=28%, signal=89%	
REACTOME_ELASTIC_FIBRE_FORMATION	REACTOME_ELASTIC_FIBRE_FORMATION	Details ...	44	0.59912026	1.9358821	0.0	0.0054184473	0.127	2323	tags=50%, list=13%, signal=57%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Details ...	9	0.86319876	1.9273545	0.0	0.0058085746	0.144	401	tags=56%, list=2%, signal=57%	
