NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	98	-0.6245617	-2.3747263	0.0	0.0	0.0	3788	tags=57%, list=19%, signal=70%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	116	-0.6048815	-2.3273702	0.0	0.0	0.0	3788	tags=55%, list=19%, signal=68%	
REACTOME_SURFACTANT_METABOLISM	REACTOME_SURFACTANT_METABOLISM	Details ...	28	-0.7086818	-2.0811443	0.0	0.0016607889	0.004	3460	tags=57%, list=17%, signal=69%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	Details ...	83	-0.5655495	-2.0805943	0.0	0.0012455917	0.004	2027	tags=18%, list=10%, signal=20%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	84	-0.55825156	-2.046187	0.0	0.0034808551	0.014	7668	tags=80%, list=38%, signal=129%	
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM	Details ...	33	-0.64436334	-1.9976418	0.0	0.010307438	0.048	3009	tags=52%, list=15%, signal=61%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	293	-0.4555647	-1.9904138	0.0	0.009538305	0.052	8755	tags=69%, list=44%, signal=120%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	66	-0.56266326	-1.9708529	0.0	0.013722489	0.087	7668	tags=80%, list=38%, signal=130%	
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	Details ...	121	-0.50107193	-1.9544353	0.0	0.017258147	0.122	3644	tags=36%, list=18%, signal=43%	
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	Details ...	21	-0.70303893	-1.9528608	0.0	0.016037002	0.125	2075	tags=48%, list=10%, signal=53%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	88	-0.5219662	-1.937005	0.0	0.018275356	0.156	7668	tags=77%, list=38%, signal=125%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.5012372	-1.8911338	0.0	0.03619359	0.293	8317	tags=74%, list=41%, signal=126%	
GAMMA-LINOLENATE DEGRADATION	GAMMA-LINOLENATE DEGRADATION	Details ...	50	-0.5735188	-1.8883084	0.0	0.034366153	0.299	3634	tags=40%, list=18%, signal=49%	
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	Details ...	43	-0.58332366	-1.8862451	0.0	0.032881256	0.307	3095	tags=37%, list=15%, signal=44%	
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	Details ...	13	-0.7663693	-1.8724668	0.0	0.03790442	0.361	2886	tags=62%, list=14%, signal=72%	
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	Details ...	27	-0.6332256	-1.8632952	0.0	0.04087838	0.4	1355	tags=26%, list=7%, signal=28%	
REACTOME_ADRENOCEPTORS	REACTOME_ADRENOCEPTORS	Details ...	9	-0.81128645	-1.8157866	0.0	0.07677544	0.638	3592	tags=89%, list=18%, signal=108%	
REACTOME_POTASSIUM_CHANNELS	REACTOME_POTASSIUM_CHANNELS	Details ...	91	-0.4833834	-1.8134192	0.0	0.07444165	0.645	2139	tags=34%, list=11%, signal=38%	
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	Details ...	184	-0.43581325	-1.8110436	0.0	0.073692136	0.66	3719	tags=33%, list=19%, signal=40%	
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	Details ...	31	-0.58512527	-1.7710173	0.0	0.12183053	0.853	2520	tags=39%, list=13%, signal=44%	
REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5	REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5		8	-0.8307209	-1.7701181	0.0	0.11771935	0.857	2878	tags=75%, list=14%, signal=88%	
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION		28	-0.5933854	-1.7671255	0.0059288535	0.11713394	0.872	1956	tags=32%, list=10%, signal=36%	
REACTOME_SYNTHESIS_OF_PE	REACTOME_SYNTHESIS_OF_PE		13	-0.706628	-1.7669232	0.00811359	0.11231384	0.873	3040	tags=38%, list=15%, signal=45%	
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM		10	-0.774481	-1.7609246	0.0037664783	0.116144694	0.897	3383	tags=70%, list=17%, signal=84%	
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	REACTOME_INTEGRATION_OF_ENERGY_METABOLISM		104	-0.4605379	-1.7588589	0.0	0.113872446	0.901	4080	tags=38%, list=20%, signal=47%	
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE	REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE		14	-0.71049017	-1.7556944	0.0036429872	0.11360514	0.907	4100	tags=64%, list=20%, signal=81%	
REACTOME_CRISTAE_FORMATION	REACTOME_CRISTAE_FORMATION		31	-0.5833326	-1.7501625	0.001996008	0.11700784	0.92	5431	tags=68%, list=27%, signal=93%	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	REACTOME_ACYL_CHAIN_REMODELLING_OF_PG		15	-0.6873628	-1.7365143	0.0	0.13434425	0.951	673	tags=20%, list=3%, signal=21%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)		45	-0.53662264	-1.7319441	0.003787879	0.13698359	0.961	7668	tags=73%, list=38%, signal=118%	
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS		180	-0.41856658	-1.7309699	0.0	0.13401452	0.961	2783	tags=29%, list=14%, signal=34%	
REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS	REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS		7	-0.8275045	-1.7295047	0.00203666	0.13219649	0.965	1561	tags=71%, list=8%, signal=77%	
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING		18	-0.64777213	-1.722017	0.007797271	0.14054011	0.979	5379	tags=83%, list=27%, signal=114%	
ARGININE DEGRADATION	ARGININE DEGRADATION		21	-0.6084364	-1.712567	0.007936508	0.15245724	0.993	7127	tags=90%, list=36%, signal=140%	
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS	REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS		17	-0.63638216	-1.7119076	0.006185567	0.14906086	0.993	3374	tags=59%, list=17%, signal=71%	
REACTOME_GLUCONEOGENESIS	REACTOME_GLUCONEOGENESIS		31	-0.5708769	-1.7085805	0.0019723866	0.15073606	0.994	5280	tags=61%, list=26%, signal=83%	
ARACHIDONATE SYNTHESIS	ARACHIDONATE SYNTHESIS		20	-0.62912345	-1.7033051	0.007952286	0.1570275	0.996	7127	tags=95%, list=36%, signal=147%	
