NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	44	0.68621004	2.322549	0.0	0.0	0.0	3056	tags=45%, list=17%, signal=55%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	31	0.72923774	2.2525182	0.0	0.0	0.0	3056	tags=61%, list=17%, signal=74%	
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	REACTOME_PROLACTIN_RECEPTOR_SIGNALING	Details ...	13	0.8657312	2.2208357	0.0	3.4216727E-4	0.001	5	tags=15%, list=0%, signal=15%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	52	0.6247519	2.1539161	0.0	0.0010062188	0.004	3056	tags=44%, list=17%, signal=53%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	12	0.886864	2.1517754	0.0	8.0497505E-4	0.004	1021	tags=75%, list=6%, signal=79%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	12	0.88180816	2.1464798	0.0	0.0010160833	0.006	36	tags=33%, list=0%, signal=33%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	38	0.66079164	2.121688	0.0	0.001455515	0.01	3056	tags=50%, list=17%, signal=60%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Details ...	8	0.9253903	2.1034398	0.0	0.0019161371	0.015	36	tags=50%, list=0%, signal=50%	
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	Details ...	22	0.7124977	2.0453577	0.0	0.004759122	0.041	5	tags=9%, list=0%, signal=9%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	35	0.63427615	2.033786	0.0	0.0051958077	0.05	2031	tags=49%, list=11%, signal=55%	
