NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	95	0.7907091	2.8872025	0.0	0.0	0.0	1452	tags=61%, list=7%, signal=65%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	61	0.8465716	2.8479571	0.0	0.0	0.0	1898	tags=79%, list=9%, signal=86%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	61	0.84599537	2.816708	0.0	0.0	0.0	1034	tags=67%, list=5%, signal=71%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	174	0.70605516	2.8101537	0.0	0.0	0.0	1949	tags=43%, list=9%, signal=47%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	78	0.7893253	2.8011854	0.0	0.0	0.0	1898	tags=56%, list=9%, signal=62%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	69	0.8170249	2.788458	0.0	0.0	0.0	1353	tags=74%, list=7%, signal=79%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	74	0.7920611	2.780841	0.0	0.0	0.0	1034	tags=54%, list=5%, signal=57%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	108	0.7509809	2.7807105	0.0	0.0	0.0	2120	tags=47%, list=10%, signal=52%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	61	0.81498784	2.7763488	0.0	0.0	0.0	1164	tags=74%, list=6%, signal=78%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	86	0.77686965	2.7685547	0.0	0.0	0.0	1034	tags=49%, list=5%, signal=51%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	90	0.7511493	2.743613	0.0	0.0	0.0	1908	tags=60%, list=9%, signal=66%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	53	0.83339804	2.7406425	0.0	0.0	0.0	1898	tags=75%, list=9%, signal=83%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	158	0.6922214	2.7031713	0.0	0.0	0.0	2053	tags=49%, list=10%, signal=54%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	135	0.6997024	2.6608284	0.0	0.0	0.0	2120	tags=40%, list=10%, signal=44%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	79	0.75322866	2.644953	0.0	0.0	0.0	1898	tags=53%, list=9%, signal=58%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	78	0.74621016	2.6313984	0.0	0.0	0.0	1034	tags=49%, list=5%, signal=51%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	63	0.7851158	2.6259859	0.0	0.0	0.0	1034	tags=57%, list=5%, signal=60%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	156	0.6551595	2.5667684	0.0	0.0	0.0	2121	tags=31%, list=10%, signal=34%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	126	0.6709679	2.539236	0.0	0.0	0.0	1898	tags=33%, list=9%, signal=36%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	122	0.67799497	2.5258498	0.0	0.0	0.0	1034	tags=37%, list=5%, signal=39%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS		145	0.6473647	2.4968824	0.0	0.0	0.0	2026	tags=34%, list=10%, signal=37%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION		472	0.56429386	2.472581	0.0	0.0	0.0	3016	tags=32%, list=15%, signal=37%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM		1027	0.5371052	2.4605994	0.0	0.0	0.0	3196	tags=32%, list=15%, signal=36%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		206	0.6053269	2.4430435	0.0	0.0	0.0	2168	tags=33%, list=10%, signal=37%	
