NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	115	-0.67546076	-2.4166474	0.0	0.0	0.0	2092	tags=49%, list=10%, signal=54%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	91	-0.66551447	-2.3115249	0.0	0.0	0.0	1994	tags=45%, list=10%, signal=50%	
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	Details ...	391	-0.50155973	-2.057182	0.0	0.0010300655	0.005	3607	tags=37%, list=17%, signal=43%	
REACTOME_POTASSIUM_CHANNELS	REACTOME_POTASSIUM_CHANNELS	Details ...	97	-0.577721	-2.037535	0.0	0.0010885851	0.007	3605	tags=41%, list=17%, signal=50%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	Details ...	86	-0.56443375	-1.9550805	0.0	0.00662154	0.052	3506	tags=41%, list=17%, signal=49%	
REACTOME_CARDIAC_CONDUCTION	REACTOME_CARDIAC_CONDUCTION	Details ...	127	-0.5282523	-1.9300044	0.0	0.00802378	0.076	3625	tags=38%, list=18%, signal=46%	
REACTOME_PHASE_0_RAPID_DEPOLARISATION	REACTOME_PHASE_0_RAPID_DEPOLARISATION	Details ...	32	-0.6597608	-1.91365	0.0	0.01035825	0.113	3554	tags=59%, list=17%, signal=72%	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION	Details ...	199	-0.49173507	-1.8897978	0.0	0.014830309	0.179	3689	tags=35%, list=18%, signal=42%	
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	Details ...	61	-0.5752414	-1.8841405	0.0	0.01407845	0.192	3509	tags=43%, list=17%, signal=51%	
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	Details ...	19	-0.72878754	-1.8704232	0.0	0.01669191	0.242	4185	tags=74%, list=20%, signal=92%	
REACTOME_NEUREXINS_AND_NEUROLIGINS	REACTOME_NEUREXINS_AND_NEUROLIGINS	Details ...	56	-0.58019	-1.8642553	0.0016393443	0.016608823	0.257	4221	tags=45%, list=20%, signal=56%	
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	Details ...	33	-0.6473248	-1.8486886	0.0	0.019181672	0.302	3509	tags=55%, list=17%, signal=66%	
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	Details ...	41	-0.6086959	-1.8102162	0.0	0.032454576	0.488	2662	tags=44%, list=13%, signal=50%	
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	Details ...	257	-0.4576294	-1.8095897	0.0	0.030446324	0.491	4949	tags=43%, list=24%, signal=56%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION	Details ...	10	-0.8308737	-1.797659	0.0	0.0341953	0.554	2804	tags=70%, list=14%, signal=81%	
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	Details ...	10	-0.8046109	-1.7705448	0.0054545454	0.04756902	0.699	2588	tags=80%, list=13%, signal=91%	
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	Details ...	14	-0.7449223	-1.7501764	0.0	0.0607959	0.79	1330	tags=43%, list=6%, signal=46%	
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	24	-0.6308102	-1.7334031	0.0	0.07229542	0.854	2139	tags=38%, list=10%, signal=42%	
REACTOME_GABA_RECEPTOR_ACTIVATION	REACTOME_GABA_RECEPTOR_ACTIVATION	Details ...	57	-0.53972346	-1.730776	0.0	0.07140858	0.868	4914	tags=54%, list=24%, signal=71%	
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	Details ...	13	-0.72279567	-1.7182168	0.0071301246	0.08180817	0.91	936	tags=46%, list=5%, signal=48%	
