NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	70	0.67217404	2.2148259	0.0	6.0938805E-4	0.001	3817	tags=60%, list=20%, signal=75%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	21	0.80782324	2.1558871	0.0	6.117042E-4	0.002	2405	tags=76%, list=13%, signal=87%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	43	0.6955453	2.1052155	0.0	6.112733E-4	0.003	3781	tags=67%, list=20%, signal=84%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	32	0.73720276	2.103185	0.0	4.5845495E-4	0.003	2758	tags=59%, list=14%, signal=69%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	66	0.63536364	2.0556836	0.0	9.7148755E-4	0.008	3781	tags=56%, list=20%, signal=70%	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	Details ...	38	0.65802425	1.9655148	0.0	0.0034344331	0.034	3083	tags=55%, list=16%, signal=66%	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION	Details ...	190	0.5338169	1.9640771	0.0	0.0031174126	0.036	2963	tags=37%, list=15%, signal=43%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	36	0.67914504	1.9530194	0.0	0.00363943	0.048	2647	tags=56%, list=14%, signal=64%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	12	0.8528999	1.9519304	0.0	0.0033025888	0.049	561	tags=42%, list=3%, signal=43%	
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	Details ...	15	0.76775426	1.8921045	0.0031496063	0.011661703	0.177	2875	tags=67%, list=15%, signal=78%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Details ...	8	0.8907962	1.8897816	0.0	0.01120989	0.187	561	tags=63%, list=3%, signal=64%	
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS	Details ...	39	0.62437767	1.8553483	0.0	0.019220585	0.321	3695	tags=56%, list=19%, signal=70%	
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	Details ...	8	0.87814313	1.853216	0.0	0.018346852	0.331	1021	tags=63%, list=5%, signal=66%	
REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D	REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D	Details ...	8	0.8926249	1.8412038	0.0	0.02180849	0.398	1021	tags=63%, list=5%, signal=66%	
REACTOME_ION_HOMEOSTASIS	REACTOME_ION_HOMEOSTASIS	Details ...	53	0.58584553	1.8357652	0.0	0.021976283	0.427	2165	tags=34%, list=11%, signal=38%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Details ...	89	0.54034543	1.8351848	0.0	0.020790638	0.429	3781	tags=49%, list=20%, signal=61%	
REACTOME_CARDIAC_CONDUCTION	REACTOME_CARDIAC_CONDUCTION	Details ...	118	0.51887685	1.8261726	0.0	0.022850249	0.478	2963	tags=36%, list=15%, signal=43%	
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	Details ...	21	0.6795877	1.815967	0.0015698588	0.025997661	0.549	1459	tags=38%, list=8%, signal=41%	
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	Details ...	8	0.8775623	1.8154334	0.0	0.025078284	0.556	1021	tags=63%, list=5%, signal=66%	
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	Details ...	60	0.56342953	1.8121624	0.0	0.024669647	0.57	3695	tags=43%, list=19%, signal=54%	
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS		18	0.69707996	1.7802125	0.00152207	0.039025024	0.747	4088	tags=67%, list=21%, signal=85%	
REACTOME_RETINOID_CYCLE_DISEASE_EVENTS	REACTOME_RETINOID_CYCLE_DISEASE_EVENTS		10	0.80061686	1.7660019	0.0048701297	0.04743233	0.819	3172	tags=70%, list=17%, signal=84%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY		67	0.53603536	1.765789	0.0013020834	0.045556165	0.82	2405	tags=33%, list=13%, signal=37%	
REACTOME_KERATAN_SULFATE_DEGRADATION	REACTOME_KERATAN_SULFATE_DEGRADATION		13	0.7354518	1.7480896	0.0049342103	0.057218958	0.894	1021	tags=38%, list=5%, signal=41%	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES		60	0.53787047	1.7425541	0.0025542784	0.060012177	0.912	3781	tags=50%, list=20%, signal=62%	
REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION		7	0.85496014	1.7410094	0.0034965035	0.058893174	0.918	2645	tags=86%, list=14%, signal=99%	
REACTOME_SENSORY_PERCEPTION_OF_TASTE	REACTOME_SENSORY_PERCEPTION_OF_TASTE		24	0.62780607	1.7199	0.007575758	0.07584363	0.965	4001	tags=54%, list=21%, signal=68%	
REACTOME_LONG_TERM_POTENTIATION	REACTOME_LONG_TERM_POTENTIATION		23	0.63567543	1.7105685	0.0044182623	0.082157366	0.985	1459	tags=30%, list=8%, signal=33%	
REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING		115	0.47987893	1.7022976	0.0012135922	0.08899462	0.988	2405	tags=20%, list=13%, signal=23%	
