NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	127	0.7028702	2.1416616	0.0	0.0	0.0	3110	tags=61%, list=15%, signal=72%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	34	0.78879434	2.1119463	0.0	0.0	0.0	3365	tags=68%, list=16%, signal=80%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	23	0.79174805	1.9885588	0.0	2.1741155E-4	0.001	2113	tags=70%, list=10%, signal=77%	
REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING	REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING	Details ...	24	0.7476527	1.905784	0.0	0.0011511897	0.007	2082	tags=50%, list=10%, signal=55%	
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	Details ...	13	0.80962825	1.830927	0.0	0.010296376	0.076	3672	tags=77%, list=17%, signal=93%	
REACTOME_ERBB2_REGULATES_CELL_MOTILITY	REACTOME_ERBB2_REGULATES_CELL_MOTILITY	Details ...	15	0.7863393	1.8104137	0.0	0.014001584	0.119	3672	tags=60%, list=17%, signal=72%	
REACTOME_ION_HOMEOSTASIS	REACTOME_ION_HOMEOSTASIS	Details ...	54	0.63757306	1.7919283	0.0	0.017948173	0.171	4790	tags=56%, list=23%, signal=72%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	Details ...	91	0.5955386	1.77751	0.0	0.022604398	0.237	3738	tags=36%, list=18%, signal=44%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	45	0.62841153	1.7370677	0.0	0.046841066	0.478	4039	tags=51%, list=19%, signal=63%	
REACTOME_TIGHT_JUNCTION_INTERACTIONS	REACTOME_TIGHT_JUNCTION_INTERACTIONS	Details ...	28	0.67321795	1.7296237	0.0	0.04852876	0.525	4852	tags=61%, list=23%, signal=79%	
