NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	664	-0.099827655	---	---	1.0	0.0	5653	tags=25%, list=27%, signal=32%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	233	-0.1696141	---	---	1.0	0.0	5653	tags=25%, list=27%, signal=34%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Details ...	360	-0.15256278	---	---	1.0	0.0	6407	tags=34%, list=30%, signal=48%	
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Details ...	304	-0.2614952	---	---	1.0	0.0	5610	tags=40%, list=26%, signal=54%	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT	Details ...	712	-0.18464637	---	---	1.0	0.0	4979	tags=30%, list=23%, signal=37%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	1374	-0.1756575	---	---	1.0	0.0	4664	tags=27%, list=22%, signal=32%	
REACTOME_M_PHASE	REACTOME_M_PHASE	Details ...	390	-0.12513961	---	---	1.0	0.0	5653	tags=25%, list=27%, signal=34%	
REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELL_CYCLE_MITOTIC	Details ...	534	-0.108452916	---	---	1.0	0.0	5653	tags=25%, list=27%, signal=33%	
REACTOME_DNA_REPAIR	REACTOME_DNA_REPAIR	Details ...	314	-0.17520899	---	---	1.0	0.0	7596	tags=46%, list=36%, signal=70%	
REACTOME_NEDDYLATION	REACTOME_NEDDYLATION	Details ...	241	-0.24873343	---	---	1.0	0.0	7102	tags=46%, list=33%, signal=69%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	706	-0.27569422	---	---	1.0	0.0	7725	tags=45%, list=36%, signal=68%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Details ...	775	-0.17417283	---	---	1.0	0.0	4196	tags=21%, list=20%, signal=25%	
REACTOME_SARS_COV_INFECTIONS	REACTOME_SARS_COV_INFECTIONS	Details ...	450	-0.18241897	---	---	1.0	0.0	3616	tags=22%, list=17%, signal=26%	
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	Details ...	303	-0.1979519	---	---	1.0	0.0	7102	tags=43%, list=33%, signal=63%	
