NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.71671826	2.625407	0.0	0.0	0.0	3082	tags=68%, list=16%, signal=80%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.64026004	2.4637375	0.0	0.0	0.0	3082	tags=54%, list=16%, signal=64%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.6572759	2.3981934	0.0	0.0	0.0	3342	tags=56%, list=17%, signal=68%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.62631613	2.3936183	0.0	0.0	0.0	3606	tags=53%, list=18%, signal=64%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	93	0.61877495	2.387073	0.0	0.0	0.0	2389	tags=40%, list=12%, signal=45%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	34	0.7189948	2.3204706	0.0	0.0	0.0	2339	tags=47%, list=12%, signal=53%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.6208186	2.291193	0.0	0.0	0.0	3082	tags=55%, list=16%, signal=65%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	41	0.679684	2.281324	0.0	1.4212963E-4	0.001	2339	tags=41%, list=12%, signal=47%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	40	0.7001611	2.2754488	0.0	1.2633746E-4	0.001	2339	tags=43%, list=12%, signal=48%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	47	0.6489406	2.2647672	0.0	1.1370371E-4	0.001	2339	tags=36%, list=12%, signal=41%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	44	0.6767689	2.264236	0.0	1.0336701E-4	0.001	2339	tags=39%, list=12%, signal=44%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	35	0.7094693	2.2637398	0.0	9.47531E-5	0.001	2339	tags=49%, list=12%, signal=55%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	52	0.6475608	2.2626462	0.0	8.7464396E-5	0.001	3322	tags=48%, list=17%, signal=58%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	Details ...	61	0.6285119	2.2592394	0.0	8.121694E-5	0.001	3346	tags=48%, list=17%, signal=57%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.622901	2.251306	0.0	7.5802476E-5	0.001	3082	tags=61%, list=16%, signal=72%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	39	0.6825574	2.2202299	0.0	7.106482E-5	0.001	2339	tags=44%, list=12%, signal=49%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	62	0.6125122	2.2146912	0.0	6.688454E-5	0.001	2339	tags=29%, list=12%, signal=33%	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	Details ...	195	0.51314837	2.179744	0.0	1.9129064E-4	0.003	2758	tags=34%, list=14%, signal=39%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	107	0.5513475	2.1737332	0.0	1.8122271E-4	0.003	3082	tags=50%, list=16%, signal=58%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	44	0.6478423	2.1673312	0.0	1.7216157E-4	0.003	2339	tags=41%, list=12%, signal=46%	
