NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	Details ...	34	-0.70835316	-2.1807156	0.0	0.0	0.0	2793	tags=53%, list=14%, signal=62%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	42	-0.6728142	-2.1532907	0.0	0.0017351961	0.004	4070	tags=64%, list=21%, signal=81%	
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS	Details ...	40	-0.65332097	-2.0833142	0.0	0.0028591417	0.01	4319	tags=68%, list=22%, signal=86%	
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	Details ...	368	-0.4539463	-2.0138955	0.0	0.01016991	0.047	3827	tags=35%, list=19%, signal=42%	
REACTOME_ION_HOMEOSTASIS	REACTOME_ION_HOMEOSTASIS	Details ...	53	-0.5868877	-1.9864995	0.0	0.0116182035	0.066	2977	tags=45%, list=15%, signal=53%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Details ...	40	-0.62324005	-1.9662405	0.0	0.014798686	0.1	2411	tags=43%, list=12%, signal=48%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	Details ...	59	-0.56998444	-1.9638578	0.0	0.013315268	0.105	7658	tags=73%, list=39%, signal=118%	
REACTOME_POTASSIUM_CHANNELS	REACTOME_POTASSIUM_CHANNELS	Details ...	91	-0.53425545	-1.9481231	0.0	0.0140417	0.125	4338	tags=49%, list=22%, signal=63%	
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	Details ...	17	-0.7284837	-1.9186606	0.0018761726	0.020279258	0.192	751	tags=29%, list=4%, signal=31%	
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	Details ...	61	-0.5507078	-1.9012674	0.0016638935	0.023381617	0.245	5079	tags=57%, list=26%, signal=77%	
