NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	176	-0.7083344	-3.1736417	0.0	0.0	0.0	4287	tags=73%, list=21%, signal=92%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	126	-0.70528203	-2.9959776	0.0	0.0	0.0	4524	tags=75%, list=22%, signal=95%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	85	-0.7437702	-2.95733	0.0	0.0	0.0	4524	tags=87%, list=22%, signal=111%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.7043056	-2.9511714	0.0	0.0	0.0	4524	tags=74%, list=22%, signal=94%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	89	-0.74445355	-2.9302948	0.0	0.0	0.0	4524	tags=85%, list=22%, signal=109%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	294	-0.5972107	-2.8452778	0.0	0.0	0.0	7453	tags=83%, list=36%, signal=128%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	67	-0.7275277	-2.8234353	0.0	0.0	0.0	4524	tags=84%, list=22%, signal=107%	
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	Details ...	64	-0.7088873	-2.7353725	0.0	0.0	0.0	4276	tags=72%, list=21%, signal=90%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	Details ...	204	-0.5857871	-2.6972175	0.0	0.0	0.0	7815	tags=84%, list=38%, signal=134%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.65749335	-2.6792853	0.0	0.0	0.0	5635	tags=77%, list=27%, signal=105%	
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Details ...	54	-0.7149582	-2.6357503	0.0	0.0	0.0	3562	tags=70%, list=17%, signal=85%	
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	Details ...	55	-0.6862461	-2.5727048	0.0	0.0	0.0	4549	tags=64%, list=22%, signal=81%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	-0.7180411	-2.5541632	0.0	0.0	0.0	4779	tags=84%, list=23%, signal=110%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	Details ...	60	-0.67087686	-2.5523474	0.0	0.0	0.0	4869	tags=72%, list=24%, signal=93%	
REACTOME_PROTEIN_LOCALIZATION	REACTOME_PROTEIN_LOCALIZATION	Details ...	163	-0.5728122	-2.5305884	0.0	0.0	0.0	5208	tags=60%, list=25%, signal=80%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	42	-0.7070183	-2.5150099	0.0	0.0	0.0	4164	tags=62%, list=20%, signal=77%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	57	-0.6820595	-2.501745	0.0	0.0	0.0	4779	tags=72%, list=23%, signal=93%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	14	-0.9319875	-2.4921424	0.0	0.0	0.0	369	tags=64%, list=2%, signal=65%	
REACTOME_CRISTAE_FORMATION	REACTOME_CRISTAE_FORMATION	Details ...	31	-0.7631259	-2.4821517	0.0	0.0	0.0	4153	tags=84%, list=20%, signal=105%	
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM	Details ...	33	-0.73935056	-2.4748008	0.0	0.0	0.0	3741	tags=67%, list=18%, signal=81%	
