NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	Details ...	11	-0.8346493	-1.9750763	0.0	0.13191502	0.094	1859	tags=73%, list=10%, signal=81%	
REACTOME_SYNDECAN_INTERACTIONS	REACTOME_SYNDECAN_INTERACTIONS	Details ...	27	-0.6297524	-1.888064	0.0	0.23503935	0.289	3619	tags=59%, list=19%, signal=73%	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	Details ...	38	-0.5591836	-1.833303	0.0	0.3383643	0.515	3747	tags=68%, list=20%, signal=85%	
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS	REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS	Details ...	8	-0.8283959	-1.8188224	0.0050251256	0.31146973	0.591	583	tags=38%, list=3%, signal=39%	
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD	REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD	Details ...	8	-0.8291586	-1.8158324	0.0025575447	0.25976437	0.604	1245	tags=50%, list=7%, signal=54%	
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	Details ...	20	-0.6796388	-1.8069626	0.0	0.2459384	0.649	1245	tags=25%, list=7%, signal=27%	
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	Details ...	7	-0.85178125	-1.7769741	0.0023923444	0.3041674	0.778	992	tags=43%, list=5%, signal=45%	
REACTOME_CS_DS_DEGRADATION	REACTOME_CS_DS_DEGRADATION	Details ...	14	-0.7016226	-1.7651322	0.010899182	0.3063219	0.832	931	tags=29%, list=5%, signal=30%	
REACTOME_DNA_STRAND_ELONGATION	REACTOME_DNA_STRAND_ELONGATION	Details ...	32	-0.5584699	-1.7620658	0.0035842294	0.2810264	0.842	5687	tags=63%, list=31%, signal=90%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	70	-0.48948103	-1.7543656	0.0	0.2771412	0.868	2335	tags=43%, list=13%, signal=49%	
