NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	475	-0.46410456	-2.5136151	0.0	0.0	0.0	4524	tags=47%, list=23%, signal=60%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	85	-0.49716204	-2.1958313	0.0	0.005366933	0.011	6187	tags=49%, list=31%, signal=71%	
REACTOME_INTERLEUKIN_1_SIGNALING	REACTOME_INTERLEUKIN_1_SIGNALING	Details ...	114	-0.42086574	-1.9421359	0.0	0.17570405	0.418	4551	tags=37%, list=23%, signal=47%	
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10	REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10	Details ...	13	-0.6976033	-1.9328413	0.0025575447	0.14685106	0.45	6088	tags=92%, list=30%, signal=132%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	67	-0.4567136	-1.8971617	0.0	0.17303085	0.6	5670	tags=46%, list=28%, signal=64%	
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	Details ...	21	-0.5882994	-1.8958975	0.008333334	0.14682762	0.604	3905	tags=62%, list=19%, signal=77%	
REACTOME_PROTEIN_REPAIR	REACTOME_PROTEIN_REPAIR	Details ...	6	-0.8656717	-1.8817055	0.004705882	0.14980806	0.667	1744	tags=83%, list=9%, signal=91%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	-0.48853263	-1.861644	0.0	0.16334814	0.739	6187	tags=44%, list=31%, signal=64%	
REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH	REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH	Details ...	9	-0.7393599	-1.8506222	0.0025188916	0.16379908	0.775	2931	tags=78%, list=15%, signal=91%	
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	Details ...	17	-0.61119586	-1.8410373	0.0027472528	0.1651761	0.813	3145	tags=29%, list=16%, signal=35%	
