NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	Details ...	395	-0.57141453	-2.7600582	0.0	0.0	0.0	3926	tags=54%, list=19%, signal=65%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	Details ...	87	-0.6565849	-2.6069038	0.0	0.0	0.0	2456	tags=47%, list=12%, signal=53%	
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	Details ...	260	-0.55704075	-2.582811	0.0	0.0	0.0	3828	tags=54%, list=18%, signal=65%	
REACTOME_NEUREXINS_AND_NEUROLIGINS	REACTOME_NEUREXINS_AND_NEUROLIGINS	Details ...	56	-0.7030161	-2.5596826	0.0	0.0	0.0	2456	tags=57%, list=12%, signal=65%	
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	Details ...	196	-0.55709946	-2.5066283	0.0	0.0	0.0	3828	tags=53%, list=18%, signal=64%	
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	Details ...	40	-0.71006304	-2.4772558	0.0	0.0	0.0	2954	tags=65%, list=14%, signal=76%	
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	23	-0.789085	-2.393797	0.0	0.0	0.0	2292	tags=70%, list=11%, signal=78%	
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	18	-0.8324504	-2.3567662	0.0	0.0	0.0	2245	tags=78%, list=11%, signal=87%	
REACTOME_POTASSIUM_CHANNELS	REACTOME_POTASSIUM_CHANNELS	Details ...	97	-0.5570507	-2.255352	0.0	2.4566645E-4	0.002	2954	tags=49%, list=14%, signal=57%	
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	17	-0.7860116	-2.2371223	0.0	3.328996E-4	0.003	2245	tags=65%, list=11%, signal=73%	
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	Details ...	28	-0.6948857	-2.215657	0.0	3.02636E-4	0.003	3677	tags=61%, list=18%, signal=74%	
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	24	-0.7142104	-2.211742	0.0	2.7741631E-4	0.003	2245	tags=63%, list=11%, signal=70%	
REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	Details ...	28	-0.6744252	-2.1913273	0.0	4.2263E-4	0.005	1933	tags=43%, list=9%, signal=47%	
REACTOME_GABA_RECEPTOR_ACTIVATION	REACTOME_GABA_RECEPTOR_ACTIVATION	Details ...	57	-0.5896277	-2.1721888	0.0	3.9244213E-4	0.005	3068	tags=53%, list=15%, signal=62%	
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	Details ...	31	-0.6786973	-2.16504	0.0	5.1780924E-4	0.007	3916	tags=65%, list=19%, signal=79%	
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	Details ...	21	-0.741253	-2.1640317	0.0	4.8544616E-4	0.007	3677	tags=71%, list=18%, signal=87%	
REACTOME_LONG_TERM_POTENTIATION	REACTOME_LONG_TERM_POTENTIATION	Details ...	23	-0.71629953	-2.1507864	0.0	5.8866316E-4	0.009	2904	tags=61%, list=14%, signal=71%	
REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION	REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION	Details ...	21	-0.7231542	-2.1494534	0.0	5.5595965E-4	0.009	2904	tags=57%, list=14%, signal=66%	
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	Details ...	10	-0.89751256	-2.1470575	0.0	5.2669866E-4	0.009	1933	tags=90%, list=9%, signal=99%	
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	51	-0.5963624	-2.1443124	0.0	5.003637E-4	0.009	2333	tags=49%, list=11%, signal=55%	
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS		30	-0.6730842	-2.1317005	0.0	4.7653686E-4	0.009	4326	tags=67%, list=21%, signal=84%	
REACTOME_SIGNALING_BY_NTRKS	REACTOME_SIGNALING_BY_NTRKS		133	-0.4937819	-2.126562	0.0	4.548761E-4	0.009	3362	tags=34%, list=16%, signal=40%	
REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR	REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR		20	-0.7270268	-2.111632	0.0	5.3210143E-4	0.011	3677	tags=65%, list=18%, signal=79%	
