NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	Details ...	15	0.6613321	1.8296676	0.004347826	1.0	0.64	668	tags=20%, list=3%, signal=21%	
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	Details ...	35	0.49401873	1.727171	0.007194245	1.0	0.95	1933	tags=23%, list=10%, signal=25%	
REACTOME_DIGESTION_OF_DIETARY_LIPID	REACTOME_DIGESTION_OF_DIETARY_LIPID	Details ...	7	0.7832576	1.7214371	0.014326648	1.0	0.954	599	tags=57%, list=3%, signal=59%	
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	Details ...	8	0.754461	1.6786865	0.014492754	1.0	0.993	2200	tags=75%, list=11%, signal=84%	
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	23	0.5254624	1.6414757	0.01010101	1.0	0.999	3100	tags=39%, list=15%, signal=46%	
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	Details ...	8	0.7274111	1.6364108	0.00882353	1.0	1.0	2200	tags=63%, list=11%, signal=70%	
REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS	REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS	Details ...	9	0.6747121	1.6336741	0.032467533	1.0	1.0	5396	tags=67%, list=27%, signal=91%	
REACTOME_VASOPRESSIN_LIKE_RECEPTORS	REACTOME_VASOPRESSIN_LIKE_RECEPTORS	Details ...	5	0.8189673	1.6334323	0.02110818	0.9112293	1.0	2154	tags=60%, list=11%, signal=67%	
REACTOME_LGI_ADAM_INTERACTIONS	REACTOME_LGI_ADAM_INTERACTIONS	Details ...	12	0.61724013	1.6311749	0.023076924	0.82482404	1.0	3542	tags=75%, list=18%, signal=91%	
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	Details ...	20	0.54633236	1.6246486	0.032407407	0.7824573	1.0	1529	tags=20%, list=8%, signal=22%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	35	0.47172883	1.6192291	0.013333334	0.74244326	1.0	3627	tags=46%, list=18%, signal=56%	
REACTOME_KERATAN_SULFATE_DEGRADATION	REACTOME_KERATAN_SULFATE_DEGRADATION	Details ...	13	0.6047843	1.6160856	0.036231883	0.6975119	1.0	2200	tags=38%, list=11%, signal=43%	
REACTOME_ATTENUATION_PHASE	REACTOME_ATTENUATION_PHASE	Details ...	25	0.5001095	1.603429	0.00990099	0.70811784	1.0	1933	tags=28%, list=10%, signal=31%	
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	Details ...	10	0.655744	1.6018811	0.040677965	0.66665196	1.0	2817	tags=40%, list=14%, signal=47%	
REACTOME_RUNX2_REGULATES_GENES_INVOLVED_IN_CELL_MIGRATION	REACTOME_RUNX2_REGULATES_GENES_INVOLVED_IN_CELL_MIGRATION	Details ...	7	0.7106735	1.591886	0.034267914	0.6714613	1.0	2518	tags=29%, list=13%, signal=33%	
REACTOME_ELASTIC_FIBRE_FORMATION	REACTOME_ELASTIC_FIBRE_FORMATION	Details ...	43	0.4411219	1.5863899	0.008403362	0.6572509	1.0	3038	tags=49%, list=15%, signal=57%	
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	Details ...	27	0.4829027	1.5779518	0.024752475	0.6607793	1.0	3336	tags=44%, list=17%, signal=53%	
REACTOME_HEME_SIGNALING	REACTOME_HEME_SIGNALING	Details ...	47	0.43669903	1.5665683	0.0	0.6782619	1.0	11	tags=6%, list=0%, signal=6%	
REACTOME_CGMP_EFFECTS	REACTOME_CGMP_EFFECTS	Details ...	16	0.5715854	1.5621346	0.02	0.66311646	1.0	5207	tags=69%, list=26%, signal=93%	
