NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	231	-0.58709836	-2.92271	0.0	0.0	0.0	5596	tags=61%, list=28%, signal=83%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	293	-0.56781983	-2.908056	0.0	0.0	0.0	6558	tags=71%, list=32%, signal=104%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Details ...	186	-0.6023509	-2.9026296	0.0	0.0	0.0	5430	tags=63%, list=27%, signal=85%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	175	-0.5887382	-2.785476	0.0	0.0	0.0	5966	tags=65%, list=29%, signal=91%	
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	Details ...	75	-0.64907944	-2.7258582	0.0	0.0	0.0	3998	tags=65%, list=20%, signal=81%	
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	Details ...	86	-0.62819415	-2.7212646	0.0	0.0	0.0	3998	tags=58%, list=20%, signal=72%	
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	Details ...	90	-0.620235	-2.7158964	0.0	0.0	0.0	6199	tags=73%, list=30%, signal=105%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	123	-0.5908739	-2.708494	0.0	0.0	0.0	4507	tags=54%, list=22%, signal=69%	
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	Details ...	69	-0.6463002	-2.6772676	0.0	0.0	0.0	4897	tags=71%, list=24%, signal=93%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	118	-0.5895247	-2.6481977	0.0	0.0	0.0	6954	tags=77%, list=34%, signal=117%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	704	-0.48246095	-2.6440864	0.0	0.0	0.0	6494	tags=57%, list=32%, signal=80%	
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	Details ...	53	-0.6818796	-2.641133	0.0	0.0	0.0	4897	tags=77%, list=24%, signal=102%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	126	-0.5814201	-2.6323009	0.0	0.0	0.0	5966	tags=63%, list=29%, signal=88%	
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Details ...	72	-0.6366591	-2.6304214	0.0	0.0	0.0	6199	tags=75%, list=30%, signal=108%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.599632	-2.6299095	0.0	0.0	0.0	5966	tags=65%, list=29%, signal=91%	
REACTOME_SYNTHESIS_OF_DNA	REACTOME_SYNTHESIS_OF_DNA	Details ...	119	-0.5834906	-2.5988264	0.0	0.0	0.0	6256	tags=71%, list=31%, signal=103%	
REACTOME_S_PHASE	REACTOME_S_PHASE	Details ...	161	-0.5462275	-2.5876954	0.0	0.0	0.0	6269	tags=66%, list=31%, signal=94%	
