NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.7960268	1.9884329	0.0	0.038193468	0.07	93	tags=38%, list=0%, signal=39%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Details ...	9	0.8340874	1.886356	0.0	0.12480549	0.382	93	tags=56%, list=0%, signal=56%	
REACTOME_SENSORY_PERCEPTION_OF_TASTE	REACTOME_SENSORY_PERCEPTION_OF_TASTE	Details ...	25	0.63783026	1.8694415	0.0	0.11139741	0.468	3942	tags=56%, list=19%, signal=69%	
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE	REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE	Details ...	9	0.78858197	1.821436	0.0017482517	0.16571434	0.726	2428	tags=67%, list=12%, signal=76%	
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION	REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION	Details ...	10	0.746778	1.7563436	0.0034305318	0.31659123	0.944	1736	tags=40%, list=9%, signal=44%	
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET	REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET	Details ...	8	0.7863942	1.7525105	0.005424955	0.27794063	0.954	3427	tags=75%, list=17%, signal=90%	
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	Details ...	21	0.62540495	1.7291229	0.0031796503	0.31569648	0.986	2835	tags=38%, list=14%, signal=44%	
REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D	REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D	Details ...	8	0.7783856	1.7283602	0.0035273368	0.27876905	0.986	2913	tags=63%, list=14%, signal=73%	
REACTOME_ADRENOCEPTORS	REACTOME_ADRENOCEPTORS	Details ...	9	0.75916797	1.715125	0.0050933785	0.28697374	0.993	2477	tags=67%, list=12%, signal=76%	
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	Details ...	8	0.76539105	1.7117941	0.0052173915	0.26778436	0.994	2913	tags=63%, list=14%, signal=73%	
