NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Details ...	52	-0.7923782	-3.176672	0.0	0.0	0.0	2101	tags=73%, list=11%, signal=82%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	174	-0.6529675	-3.1724277	0.0	0.0	0.0	2743	tags=56%, list=15%, signal=65%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	293	-0.57373935	-3.0217624	0.0	0.0	0.0	5727	tags=65%, list=31%, signal=91%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	126	-0.6127167	-2.885776	0.0	0.0	0.0	5046	tags=70%, list=27%, signal=95%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.6278046	-2.8649216	0.0	0.0	0.0	5046	tags=72%, list=27%, signal=97%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	228	-0.5682704	-2.855184	0.0	0.0	0.0	5641	tags=64%, list=30%, signal=90%	
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	Details ...	22	-0.8821322	-2.8231342	0.0	0.0	0.0	1840	tags=91%, list=10%, signal=101%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.6284185	-2.820443	0.0	0.0	0.0	5448	tags=77%, list=29%, signal=108%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Details ...	183	-0.58130497	-2.819148	0.0	0.0	0.0	5582	tags=67%, list=30%, signal=94%	
REACTOME_TRNA_AMINOACYLATION	REACTOME_TRNA_AMINOACYLATION	Details ...	42	-0.7007153	-2.6665616	0.0	0.0	0.0	4508	tags=81%, list=24%, signal=106%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	120	-0.57483095	-2.6417303	0.0	0.0	0.0	4967	tags=61%, list=26%, signal=82%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	Details ...	59	-0.62453616	-2.5928648	0.0	0.0	0.0	5933	tags=85%, list=32%, signal=124%	
