NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	65	0.7706834	2.7788088	0.0	0.0	0.0	2540	tags=69%, list=14%, signal=80%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	63	0.7788795	2.7736952	0.0	0.0	0.0	2593	tags=76%, list=14%, signal=88%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	73	0.7522151	2.7582123	0.0	0.0	0.0	1786	tags=62%, list=10%, signal=68%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	55	0.7873313	2.7138407	0.0	0.0	0.0	2540	tags=73%, list=14%, signal=84%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	63	0.7626676	2.6881363	0.0	0.0	0.0	2540	tags=65%, list=14%, signal=75%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	64	0.7404862	2.669879	0.0	0.0	0.0	2540	tags=59%, list=14%, signal=68%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	80	0.7132665	2.6430013	0.0	0.0	0.0	2540	tags=54%, list=14%, signal=62%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	92	0.69774646	2.62593	0.0	0.0	0.0	2593	tags=60%, list=14%, signal=69%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	75	0.7201465	2.5935576	0.0	0.0	0.0	2655	tags=59%, list=14%, signal=68%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	107	0.65944725	2.5607948	0.0	0.0	0.0	3544	tags=64%, list=19%, signal=78%	
