NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	293	-0.5889925	-2.8462925	0.0	0.0	0.0	6582	tags=73%, list=32%, signal=106%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.65625036	-2.7844782	0.0	0.0	0.0	5794	tags=78%, list=28%, signal=109%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	Details ...	111	-0.6214777	-2.7071657	0.0	0.0	0.0	3174	tags=36%, list=16%, signal=42%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	Details ...	203	-0.5675304	-2.701339	0.0	0.0	0.0	6563	tags=71%, list=32%, signal=103%	
REACTOME_SYNTHESIS_OF_DNA	REACTOME_SYNTHESIS_OF_DNA	Details ...	119	-0.61830866	-2.6832917	0.0	0.0	0.0	5933	tags=67%, list=29%, signal=94%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	232	-0.5571108	-2.65456	0.0	0.0	0.0	5954	tags=55%, list=29%, signal=77%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	124	-0.600906	-2.643052	0.0	0.0	0.0	3174	tags=38%, list=16%, signal=45%	
REACTOME_TRNA_AMINOACYLATION	REACTOME_TRNA_AMINOACYLATION	Details ...	42	-0.73067033	-2.6191492	0.0	0.0	0.0	4127	tags=76%, list=20%, signal=95%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Details ...	187	-0.5593063	-2.6095486	0.0	0.0	0.0	5954	tags=57%, list=29%, signal=79%	
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	Details ...	86	-0.6043186	-2.5360448	0.0	0.0	0.0	5923	tags=60%, list=29%, signal=85%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	Details ...	60	-0.6542921	-2.535539	0.0	0.0	0.0	6041	tags=85%, list=30%, signal=120%	
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	Details ...	90	-0.5934483	-2.5115445	0.0	0.0	0.0	6712	tags=70%, list=33%, signal=104%	
REACTOME_CHOLESTEROL_BIOSYNTHESIS	REACTOME_CHOLESTEROL_BIOSYNTHESIS	Details ...	26	-0.79317063	-2.5071952	0.0	0.0	0.0	2724	tags=77%, list=13%, signal=89%	
REACTOME_S_PHASE	REACTOME_S_PHASE	Details ...	161	-0.5514489	-2.4957058	0.0	0.0	0.0	5933	tags=60%, list=29%, signal=84%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	42	-0.6948329	-2.486059	0.0	0.0	0.0	3839	tags=57%, list=19%, signal=70%	
REACTOME_MITOTIC_PROMETAPHASE	REACTOME_MITOTIC_PROMETAPHASE	Details ...	201	-0.52318126	-2.4859066	0.0	0.0	0.0	3174	tags=29%, list=16%, signal=34%	
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	Details ...	55	-0.6501603	-2.4816868	0.0	0.0	0.0	3839	tags=51%, list=19%, signal=63%	
