NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT	Details ...	690	-0.1552998	---	---	1.0	0.0	4517	tags=29%, list=25%, signal=37%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	915	-0.20088872	---	---	1.0	0.0	4473	tags=28%, list=24%, signal=35%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	1321	-0.17597921	---	---	1.0	0.0	4116	tags=28%, list=23%, signal=33%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	1261	-0.19606495	---	---	1.0	0.0	4259	tags=27%, list=23%, signal=33%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Details ...	746	-0.3255701	---	---	1.0	0.0	5812	tags=44%, list=32%, signal=62%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	293	-0.4889204	-2.5955637	0.0	0.0	0.0	6806	tags=66%, list=37%, signal=103%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	95	-0.5650091	-2.573479	0.0	0.0	0.0	6293	tags=74%, list=34%, signal=112%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	28	-0.7375988	-2.5507069	0.0	0.0	0.0	719	tags=32%, list=4%, signal=33%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	37	-0.6642126	-2.509195	0.0	0.0	0.0	366	tags=19%, list=2%, signal=19%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	33	-0.6818651	-2.505752	0.0	0.0	0.0	3482	tags=42%, list=19%, signal=52%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	46	-0.64541465	-2.477606	0.0	0.0	0.0	1361	tags=26%, list=7%, signal=28%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	72	-0.565834	-2.450353	0.0	0.0	0.0	3912	tags=39%, list=21%, signal=49%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	Details ...	59	-0.60092074	-2.4492517	0.0	0.0	0.0	5704	tags=73%, list=31%, signal=106%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	26	-0.721259	-2.4262736	0.0	0.0	0.0	366	tags=23%, list=2%, signal=24%	
REACTOME_DNA_REPLICATION_PRE_INITIATION	REACTOME_DNA_REPLICATION_PRE_INITIATION	Details ...	121	-0.5234264	-2.4256706	0.0	0.0	0.0	3413	tags=43%, list=19%, signal=52%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	30	-0.68050075	-2.413251	0.0	0.0	0.0	3378	tags=50%, list=18%, signal=61%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	85	-0.54239976	-2.403886	0.0	0.0	0.0	6365	tags=71%, list=35%, signal=108%	
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	Details ...	54	-0.5913586	-2.4022632	0.0	0.0	0.0	4579	tags=63%, list=25%, signal=84%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	34	-0.6587068	-2.3989115	0.0	0.0	0.0	366	tags=21%, list=2%, signal=21%	
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	Details ...	90	-0.53187996	-2.3894598	0.0	0.0	0.0	3413	tags=47%, list=19%, signal=57%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES		50	-0.5991631	-2.386809	0.0	0.0	0.0	4114	tags=40%, list=22%, signal=51%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE		42	-0.6118515	-2.3846402	0.0	0.0	0.0	779	tags=24%, list=4%, signal=25%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING		203	-0.45957834	-2.3781543	0.0	0.0	0.0	5704	tags=50%, list=31%, signal=72%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS		125	-0.5077326	-2.375151	0.0	0.0	0.0	6365	tags=68%, list=35%, signal=104%	
