NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	40	0.72330016	2.2109346	0.0	0.0	0.0	2846	tags=68%, list=16%, signal=80%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	63	0.6653382	2.2012036	0.0	0.0	0.0	2630	tags=54%, list=14%, signal=63%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	280	0.5692422	2.1494033	0.0	0.0	0.0	2846	tags=41%, list=16%, signal=47%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	130	0.57263374	2.077144	0.0	5.490391E-4	0.003	2695	tags=41%, list=15%, signal=47%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	79	0.58804625	1.9984334	0.0	0.003938703	0.027	2846	tags=47%, list=16%, signal=55%	
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	Details ...	21	0.7315005	1.953462	0.0	0.008639812	0.067	2352	tags=52%, list=13%, signal=60%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION	Details ...	15	0.7728288	1.9426807	0.0014285714	0.009266169	0.084	1951	tags=60%, list=11%, signal=67%	
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	Details ...	14	0.7968622	1.9386162	0.0	0.008747111	0.091	1618	tags=71%, list=9%, signal=78%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Details ...	84	0.5707599	1.9382142	0.0	0.007857413	0.092	2846	tags=46%, list=16%, signal=55%	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	Details ...	38	0.6372428	1.9124862	0.0	0.011664466	0.151	4023	tags=58%, list=22%, signal=74%	
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	Details ...	18	0.73225415	1.9121205	0.0	0.010801632	0.154	3079	tags=67%, list=17%, signal=80%	
REACTOME_ACTIVATION_OF_C3_AND_C5	REACTOME_ACTIVATION_OF_C3_AND_C5	Details ...	7	0.9184035	1.9103774	0.0	0.010206485	0.158	988	tags=71%, list=5%, signal=75%	
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	Details ...	58	0.58616775	1.9081129	0.0	0.009922457	0.166	4834	tags=55%, list=26%, signal=75%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	40	0.6130203	1.8965051	0.0	0.012009895	0.211	3845	tags=68%, list=21%, signal=85%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	109	0.5406622	1.8956431	0.0	0.011503026	0.214	2107	tags=33%, list=12%, signal=37%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	69	0.5667485	1.8852905	0.0	0.012926154	0.25	4952	tags=67%, list=27%, signal=91%	
REACTOME_DIGESTION_OF_DIETARY_LIPID	REACTOME_DIGESTION_OF_DIETARY_LIPID	Details ...	7	0.8936112	1.8769367	0.0	0.014003373	0.28	1951	tags=100%, list=11%, signal=112%	
REACTOME_DIGESTION	REACTOME_DIGESTION	Details ...	12	0.7826917	1.8731163	0.0030349013	0.014114079	0.294	1951	tags=67%, list=11%, signal=75%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	31	0.6502317	1.8662617	0.0	0.014866577	0.321	4508	tags=61%, list=25%, signal=81%	
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	Details ...	14	0.73435307	1.8353556	0.0	0.02362442	0.479	1339	tags=29%, list=7%, signal=31%	
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	REACTOME_G_ALPHA_S_SIGNALLING_EVENTS		109	0.51945484	1.8295395	0.0	0.025282403	0.516	4447	tags=44%, list=24%, signal=58%	
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	REACTOME_MET_ACTIVATES_PTK2_SIGNALING		30	0.62863016	1.8252026	0.0	0.025729576	0.535	5196	tags=63%, list=28%, signal=88%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES		76	0.54139537	1.8231348	0.0	0.025497032	0.55	4164	tags=50%, list=23%, signal=64%	
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION		55	0.5680318	1.8190016	0.0	0.026313987	0.574	2846	tags=47%, list=16%, signal=56%	
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1	REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1		13	0.7465904	1.8130394	0.0015082957	0.027764887	0.61	1339	tags=31%, list=7%, signal=33%	
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES		16	0.7141903	1.810404	0.002915452	0.02784307	0.621	3445	tags=69%, list=19%, signal=85%	
REACTOME_ELASTIC_FIBRE_FORMATION	REACTOME_ELASTIC_FIBRE_FORMATION		43	0.58106863	1.8014388	0.0025510204	0.031237472	0.67	4458	tags=65%, list=24%, signal=86%	
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS	REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS		67	0.53953695	1.7802019	0.0011848342	0.041083448	0.771	4413	tags=52%, list=24%, signal=69%	
REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT	REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT		5	0.93738014	1.771088	0.0017152659	0.04543642	0.812	819	tags=80%, list=4%, signal=84%	
REACTOME_SYNDECAN_INTERACTIONS	REACTOME_SYNDECAN_INTERACTIONS		27	0.62481576	1.7693957	0.002739726	0.045332056	0.82	4783	tags=59%, list=26%, signal=80%	
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS		200	0.47355545	1.7665505	0.0	0.045771297	0.834	3328	tags=40%, list=18%, signal=48%	
REACTOME_GPCR_LIGAND_BINDING	REACTOME_GPCR_LIGAND_BINDING		280	0.46405348	1.7569128	0.0	0.05086568	0.873	3976	tags=43%, list=22%, signal=54%	
