NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	66	0.8724905	2.9987435	0.0	0.0	0.0	1068	tags=67%, list=5%, signal=70%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	64	0.86913735	2.9614446	0.0	0.0	0.0	1092	tags=70%, list=6%, signal=74%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	56	0.8932728	2.9598691	0.0	0.0	0.0	1068	tags=79%, list=5%, signal=83%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	77	0.8507281	2.9488962	0.0	0.0	0.0	1092	tags=61%, list=6%, signal=64%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	81	0.82473445	2.8883915	0.0	0.0	0.0	1068	tags=56%, list=5%, signal=58%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	82	0.83124596	2.8802655	0.0	0.0	0.0	1068	tags=54%, list=5%, signal=56%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	81	0.8178106	2.8762484	0.0	0.0	0.0	1068	tags=56%, list=5%, signal=58%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	64	0.840015	2.8725162	0.0	0.0	0.0	1068	tags=69%, list=5%, signal=72%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	88	0.80818516	2.8566427	0.0	0.0	0.0	1092	tags=51%, list=6%, signal=54%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	129	0.7393591	2.791834	0.0	0.0	0.0	873	tags=35%, list=4%, signal=36%	
