NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	123	-0.6371332	-2.1062198	0.0	9.773197E-4	0.001	2450	tags=27%, list=13%, signal=31%	
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	Details ...	137	-0.5932275	-1.9824127	0.0	0.014841588	0.03	2450	tags=23%, list=13%, signal=27%	
REACTOME_MITOTIC_PROMETAPHASE	REACTOME_MITOTIC_PROMETAPHASE	Details ...	200	-0.5500131	-1.9558372	0.0	0.017151855	0.051	2450	tags=20%, list=13%, signal=23%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Details ...	186	-0.5533982	-1.9369756	0.0	0.019560017	0.077	2450	tags=18%, list=13%, signal=21%	
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	Details ...	30	-0.7188174	-1.8987769	0.0018248175	0.035341006	0.162	2042	tags=43%, list=11%, signal=48%	
REACTOME_GAP_JUNCTION_ASSEMBLY	REACTOME_GAP_JUNCTION_ASSEMBLY	Details ...	27	-0.73877126	-1.8927076	0.0017825312	0.034894243	0.19	1474	tags=41%, list=8%, signal=44%	
REACTOME_FERTILIZATION	REACTOME_FERTILIZATION	Details ...	15	-0.8330096	-1.8881518	0.0	0.032462638	0.206	610	tags=27%, list=3%, signal=28%	
REACTOME_KINESINS	REACTOME_KINESINS	Details ...	57	-0.6253552	-1.8880627	0.0017953322	0.028404811	0.206	1807	tags=28%, list=9%, signal=31%	
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	Details ...	40	-0.6798595	-1.886656	0.0	0.025901478	0.21	2361	tags=35%, list=12%, signal=40%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	231	-0.5222707	-1.8706112	0.0	0.030528694	0.263	1931	tags=14%, list=10%, signal=16%	
REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III	REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III	Details ...	30	-0.7117599	-1.8639896	0.0	0.031248037	0.292	972	tags=23%, list=5%, signal=25%	
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	Details ...	31	-0.6980332	-1.8631525	0.0	0.028806707	0.294	1183	tags=32%, list=6%, signal=34%	
REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES	REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES	Details ...	9	-0.9315779	-1.8624016	0.0	0.026970105	0.299	728	tags=67%, list=4%, signal=69%	
REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS	REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS	Details ...	27	-0.7324718	-1.8603644	0.0	0.025674894	0.303	248	tags=19%, list=1%, signal=19%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	Details ...	110	-0.5707325	-1.8511577	0.0	0.029030204	0.353	3930	tags=31%, list=21%, signal=39%	
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	Details ...	16	-0.8079337	-1.8435235	0.001908397	0.031399813	0.392	11	tags=6%, list=0%, signal=6%	
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY	REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY	Details ...	74	-0.6010714	-1.8412147	0.0	0.030937927	0.409	1027	tags=12%, list=5%, signal=13%	
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	Details ...	26	-0.7246056	-1.8289039	0.0	0.036774915	0.489	972	tags=23%, list=5%, signal=24%	
REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA	REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA	Details ...	7	-0.9465576	-1.8266203	0.0	0.035771098	0.497	212	tags=43%, list=1%, signal=43%	
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	Details ...	30	-0.69471407	-1.824861	0.0	0.035384264	0.51	972	tags=23%, list=5%, signal=25%	
REACTOME_DIGESTION	REACTOME_DIGESTION		15	-0.80517584	-1.8241136	0.0	0.03393814	0.513	1525	tags=53%, list=8%, signal=58%	
REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN	REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN		13	-0.8328385	-1.8145415	0.001980198	0.03731638	0.562	11	tags=8%, list=0%, signal=8%	
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE		19	-0.76220673	-1.8085552	0.0	0.03954255	0.596	1474	tags=42%, list=8%, signal=46%	
