NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	135	0.8690256	3.2395709	0.0	0.0	0.0	784	tags=39%, list=4%, signal=40%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	0.8819022	3.237941	0.0	0.0	0.0	717	tags=47%, list=3%, signal=48%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	143	0.8476275	3.2114942	0.0	0.0	0.0	717	tags=38%, list=3%, signal=39%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	165	0.84660727	3.20642	0.0	0.0	0.0	784	tags=34%, list=4%, signal=35%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	0.9124153	3.1859481	0.0	0.0	0.0	717	tags=64%, list=3%, signal=66%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.9390135	3.172876	0.0	0.0	0.0	717	tags=77%, list=3%, signal=79%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	185	0.8193041	3.172782	0.0	0.0	0.0	784	tags=29%, list=4%, signal=30%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	94	0.90388286	3.1711214	0.0	0.0	0.0	717	tags=57%, list=3%, signal=59%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	0.88169384	3.1619573	0.0	0.0	0.0	717	tags=59%, list=3%, signal=61%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.91724735	3.1583993	0.0	0.0	0.0	717	tags=61%, list=3%, signal=63%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.9134607	3.1410303	0.0	0.0	0.0	717	tags=65%, list=3%, signal=67%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.89977914	3.1369512	0.0	0.0	0.0	717	tags=59%, list=3%, signal=61%	
