NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	Details ...	88	0.60105246	2.0957217	0.0	0.0027409848	0.003	2566	tags=35%, list=14%, signal=41%	
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	Details ...	49	0.63817424	1.9911717	0.0	0.010564642	0.023	2365	tags=37%, list=13%, signal=42%	
REACTOME_XENOBIOTICS	REACTOME_XENOBIOTICS	Details ...	16	0.77149034	1.8897071	0.0	0.059060775	0.177	1534	tags=50%, list=8%, signal=54%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	Details ...	82	0.5513522	1.8891963	0.0	0.045432076	0.181	2344	tags=18%, list=12%, signal=21%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	35	0.64802897	1.8891567	0.0	0.03634566	0.181	3173	tags=60%, list=17%, signal=72%	
REACTOME_SIGNALING_BY_LEPTIN	REACTOME_SIGNALING_BY_LEPTIN	Details ...	11	0.81353927	1.8697121	0.0	0.042471632	0.248	151	tags=18%, list=1%, signal=18%	
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	Details ...	15	0.7585552	1.8638711	0.0	0.040326867	0.27	2678	tags=47%, list=14%, signal=54%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	36	0.6298303	1.8485785	0.0	0.048959926	0.358	3525	tags=53%, list=19%, signal=65%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	45	0.59461373	1.8452723	0.0	0.04574061	0.373	3080	tags=40%, list=16%, signal=48%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	33	0.63351303	1.8322618	0.0	0.049199305	0.423	3525	tags=55%, list=19%, signal=67%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	13	0.76721305	1.8196919	0.005328597	0.054373685	0.48	2298	tags=62%, list=12%, signal=70%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	41	0.6052133	1.8176479	0.0	0.052435562	0.493	3679	tags=51%, list=20%, signal=64%	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	Details ...	181	0.47073957	1.7918121	0.0	0.072837636	0.644	2123	tags=26%, list=11%, signal=29%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	55	0.55439174	1.7865509	0.0017271157	0.07479582	0.68	2958	tags=36%, list=16%, signal=43%	
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	Details ...	117	0.495043	1.783548	0.0	0.07334008	0.696	3173	tags=32%, list=17%, signal=38%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	Details ...	57	0.5548288	1.7801119	0.003236246	0.073319554	0.712	3173	tags=42%, list=17%, signal=51%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	32	0.61041003	1.7797323	0.0034129692	0.069653876	0.716	3525	tags=59%, list=19%, signal=73%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	Details ...	58	0.5439264	1.7727575	0.0016528926	0.07375062	0.764	3902	tags=43%, list=21%, signal=54%	
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	Details ...	13	0.76867217	1.7711734	0.0	0.07183836	0.773	3238	tags=62%, list=17%, signal=74%	
REACTOME_RA_BIOSYNTHESIS_PATHWAY	REACTOME_RA_BIOSYNTHESIS_PATHWAY	Details ...	19	0.6843006	1.7672513	0.0053667263	0.07254353	0.791	3388	tags=58%, list=18%, signal=71%	
REACTOME_SIGNALING_BY_RETINOIC_ACID	REACTOME_SIGNALING_BY_RETINOIC_ACID		39	0.58725727	1.7663908	0.0035273368	0.06987393	0.797	4299	tags=44%, list=23%, signal=56%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION		44	0.57186663	1.7528253	0.0016891892	0.081905074	0.852	3173	tags=41%, list=17%, signal=49%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS		52	0.5484901	1.7484614	0.0	0.083217636	0.863	2958	tags=35%, list=16%, signal=41%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP		80	0.5142703	1.748019	0.0	0.08016648	0.864	3173	tags=31%, list=17%, signal=37%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES		57	0.5437809	1.7461358	0.0033112583	0.0791796	0.871	3649	tags=37%, list=19%, signal=46%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION		37	0.59611756	1.744971	0.0017452007	0.07704911	0.876	3173	tags=49%, list=17%, signal=58%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE		99	0.49661672	1.7444302	0.0	0.07453362	0.876	1430	tags=33%, list=8%, signal=36%	
