NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	81	0.70239186	2.5551753	0.0	0.0	0.0	3149	tags=56%, list=15%, signal=65%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	63	0.7389913	2.5356653	0.0	0.0	0.0	3149	tags=63%, list=15%, signal=75%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	55	0.7542208	2.4870152	0.0	0.0	0.0	3182	tags=69%, list=15%, signal=81%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	63	0.7094515	2.4569094	0.0	0.0	0.0	2569	tags=63%, list=12%, signal=72%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	76	0.68119264	2.4275033	0.0	0.0	0.0	3831	tags=59%, list=18%, signal=72%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	65	0.7100879	2.4241803	0.0	0.0	0.0	2240	tags=55%, list=11%, signal=62%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	80	0.6793667	2.4036705	0.0	0.0	0.0	3149	tags=56%, list=15%, signal=66%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	164	0.6087542	2.3987956	0.0	0.0	0.0	3298	tags=55%, list=16%, signal=65%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	65	0.69280463	2.392312	0.0	0.0	0.0	3149	tags=60%, list=15%, signal=70%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	73	0.68965447	2.3791244	0.0	0.0	0.0	3149	tags=60%, list=15%, signal=71%	
