NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	203	-0.86019206	-3.405311	0.0	0.0	0.0	759	tags=53%, list=4%, signal=55%	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	1080	-0.5851505	-2.6638796	0.0	0.0	0.0	1200	tags=15%, list=6%, signal=15%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	128	-0.692219	-2.5869367	0.0	0.0	0.0	1382	tags=38%, list=7%, signal=41%	
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM	Details ...	33	-0.7152899	-2.0912237	0.0	0.006089284	0.02	1902	tags=39%, list=9%, signal=43%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	13	-0.8014762	-1.9603132	0.0	0.045758624	0.176	2289	tags=69%, list=11%, signal=78%	
REACTOME_TRIGLYCERIDE_CATABOLISM	REACTOME_TRIGLYCERIDE_CATABOLISM	Details ...	22	-0.7216562	-1.9506248	0.0	0.044190258	0.202	1902	tags=36%, list=9%, signal=40%	
REACTOME_METALLOTHIONEINS_BIND_METALS	REACTOME_METALLOTHIONEINS_BIND_METALS	Details ...	10	-0.85564154	-1.9005212	0.0	0.09218919	0.423	2289	tags=80%, list=11%, signal=90%	
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	Details ...	10	-0.83956325	-1.870235	0.0	0.12511535	0.576	2899	tags=80%, list=14%, signal=93%	
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	Details ...	8	-0.86200607	-1.8475782	0.0	0.15664923	0.691	819	tags=63%, list=4%, signal=65%	
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	Details ...	13	-0.7762906	-1.8475679	0.0021097045	0.14098431	0.691	1221	tags=46%, list=6%, signal=49%	
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	Details ...	37	-0.61965483	-1.8240699	0.0020242915	0.17653511	0.802	3477	tags=46%, list=17%, signal=55%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	42	-0.5931383	-1.81817	0.0	0.17555167	0.827	4534	tags=52%, list=22%, signal=67%	
REACTOME_LINOLEIC_ACID_LA_METABOLISM	REACTOME_LINOLEIC_ACID_LA_METABOLISM	Details ...	8	-0.8497699	-1.8139269	0.00589391	0.17266607	0.843	1221	tags=75%, list=6%, signal=80%	
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	Details ...	55	-0.5585194	-1.7994701	0.0	0.19339618	0.894	4749	tags=51%, list=23%, signal=66%	
REACTOME_KETONE_BODY_METABOLISM	REACTOME_KETONE_BODY_METABOLISM	Details ...	10	-0.7829537	-1.7961726	0.004166667	0.18929248	0.904	369	tags=20%, list=2%, signal=20%	
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	Details ...	7	-0.8842382	-1.7789667	0.0021097045	0.22115666	0.94	871	tags=43%, list=4%, signal=45%	
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	Details ...	7	-0.8581058	-1.7628298	0.006263048	0.25147015	0.964	1630	tags=57%, list=8%, signal=62%	
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	Details ...	35	-0.587199	-1.7591763	0.0020491802	0.24757163	0.97	7219	tags=69%, list=35%, signal=105%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.4960504	-1.7566168	0.001996008	0.24198408	0.977	8355	tags=73%, list=40%, signal=121%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	725	-0.3911953	-1.7426308	0.0	0.2681805	0.987	4248	tags=29%, list=20%, signal=35%	
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS		7	-0.8419073	-1.7389244	0.008163265	0.26607874	0.988	819	tags=57%, list=4%, signal=59%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL		60	-0.53125536	-1.7340928	0.0019762847	0.26773155	0.99	6401	tags=58%, list=31%, signal=84%	
REACTOME_METABOLISM_OF_STEROID_HORMONES	REACTOME_METABOLISM_OF_STEROID_HORMONES		34	-0.58303076	-1.7286953	0.0038095238	0.27347073	0.993	2978	tags=38%, list=14%, signal=45%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN		13	-0.7217679	-1.7249639	0.0064935065	0.27344027	0.994	1141	tags=46%, list=5%, signal=49%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE		9	-0.793742	-1.7091593	0.010121457	0.31015483	0.998	1141	tags=67%, list=5%, signal=71%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION		82	-0.49745938	-1.699912	0.003929273	0.3306714	0.999	4942	tags=35%, list=24%, signal=46%	
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA		117	-0.4569433	-1.6983701	0.0	0.3235698	0.999	5296	tags=39%, list=25%, signal=52%	
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY		8	-0.789063	-1.6928295	0.02079002	0.33067328	0.999	1363	tags=38%, list=7%, signal=40%	
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS		11	-0.75165766	-1.6920705	0.016877636	0.32211903	0.999	819	tags=45%, list=4%, signal=47%	
