NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	43	-0.6650764	-2.1237648	0.0	0.0028188517	0.002	2125	tags=53%, list=11%, signal=60%	
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	Details ...	49	-0.5950594	-2.0139763	0.0	0.03238676	0.046	7083	tags=82%, list=37%, signal=129%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	66	-0.5703578	-2.0006404	0.0	0.025765663	0.053	2125	tags=42%, list=11%, signal=48%	
REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN	Details ...	54	-0.55913657	-1.8868679	0.0	0.11211541	0.271	7083	tags=74%, list=37%, signal=117%	
REACTOME_SYNTHESIS_OF_DNA	REACTOME_SYNTHESIS_OF_DNA	Details ...	120	-0.47645277	-1.8523778	0.0	0.15505484	0.419	7346	tags=65%, list=38%, signal=105%	
REACTOME_EPHRIN_SIGNALING	REACTOME_EPHRIN_SIGNALING	Details ...	19	-0.69374436	-1.8366685	0.0	0.15688315	0.48	3747	tags=58%, list=19%, signal=72%	
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	Details ...	54	-0.54234546	-1.8360109	0.0	0.13528526	0.482	7083	tags=74%, list=37%, signal=117%	
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	Details ...	63	-0.52585256	-1.8300163	0.0032051282	0.12968071	0.511	7083	tags=73%, list=37%, signal=115%	
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	Details ...	54	-0.54702723	-1.8251339	0.0	0.12128662	0.528	7083	tags=72%, list=37%, signal=114%	
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	Details ...	54	-0.5443303	-1.8207996	0.0	0.11735861	0.555	7083	tags=72%, list=37%, signal=114%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Details ...	87	-0.48631397	-1.8099586	0.0	0.12306702	0.606	2125	tags=36%, list=11%, signal=40%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.48781252	-1.8017905	0.0	0.12723914	0.66	7284	tags=68%, list=38%, signal=108%	
