NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.7252448	2.5928397	0.0	0.0	0.0	3464	tags=67%, list=17%, signal=81%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.69364613	2.533793	0.0	0.0	0.0	3464	tags=62%, list=17%, signal=75%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.6819604	2.4982324	0.0	0.0	0.0	3464	tags=67%, list=17%, signal=80%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.64442456	2.4369314	0.0	0.0	0.0	3464	tags=56%, list=17%, signal=67%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.64791787	2.4112842	0.0	0.0	0.0	3464	tags=55%, list=17%, signal=66%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	0.6239466	2.3906074	0.0	0.0	0.0	3464	tags=52%, list=17%, signal=63%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.61886173	2.3322246	0.0	0.0	0.0	3939	tags=51%, list=19%, signal=62%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.6038061	2.2895348	0.0	0.0	0.0	3939	tags=52%, list=19%, signal=65%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	78	0.6125558	2.2826877	0.0	0.0	0.0	3939	tags=64%, list=19%, signal=79%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	70	0.61636275	2.27026	0.0	0.0	0.0	3464	tags=61%, list=17%, signal=74%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	22	0.78316385	2.2255528	0.0	0.0	0.0	1810	tags=68%, list=9%, signal=75%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	0.55436265	2.222447	0.0	0.0	0.0	3939	tags=41%, list=19%, signal=51%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	33	0.715144	2.2018232	0.0	0.0	0.0	2007	tags=55%, list=10%, signal=60%	
