NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	61	0.78381574	2.4219642	0.0	0.0	0.0	2497	tags=72%, list=13%, signal=83%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	61	0.78240174	2.3981843	0.0	0.0	0.0	2497	tags=72%, list=13%, signal=83%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	108	0.7222351	2.3774474	0.0	0.0	0.0	3031	tags=50%, list=16%, signal=59%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	153	0.6902271	2.364377	0.0	0.0	0.0	2497	tags=56%, list=13%, signal=64%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	86	0.73404676	2.3555443	0.0	0.0	0.0	2497	tags=55%, list=13%, signal=63%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	42	0.80978674	2.342283	0.0	0.0	0.0	1146	tags=55%, list=6%, signal=58%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	74	0.7333373	2.2972662	0.0	0.0	0.0	2497	tags=59%, list=13%, signal=68%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	135	0.6750937	2.2805495	0.0	0.0	0.0	2804	tags=41%, list=15%, signal=49%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	78	0.72179085	2.2721958	0.0	0.0	0.0	3031	tags=58%, list=16%, signal=69%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	53	0.7567633	2.2413216	0.0	0.0	0.0	3031	tags=74%, list=16%, signal=88%	
