NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	645	-0.3001086	---	---	1.0	0.0	6115	tags=48%, list=31%, signal=68%	
REACTOME_SIGNALING_BY_WNT	REACTOME_SIGNALING_BY_WNT	Details ...	281	-0.21360603	---	---	1.0	0.0	4205	tags=35%, list=21%, signal=44%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	610	-0.19115524	---	---	1.0	0.0	5649	tags=39%, list=29%, signal=53%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Details ...	356	-0.25796583	---	---	1.0	0.0	5556	tags=44%, list=28%, signal=60%	
REACTOME_METABOLISM_OF_LIPIDS	REACTOME_METABOLISM_OF_LIPIDS	Details ...	701	-0.20557728	---	---	1.0	0.0	4338	tags=30%, list=22%, signal=37%	
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	Details ...	422	-0.17372636	---	---	1.0	0.0	4759	tags=35%, list=24%, signal=45%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	1347	-0.1627784	---	---	1.0	0.0	5203	tags=35%, list=27%, signal=45%	
REACTOME_M_PHASE	REACTOME_M_PHASE	Details ...	378	-0.30895242	---	---	1.0	0.0	6012	tags=49%, list=31%, signal=69%	
REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELL_CYCLE_MITOTIC	Details ...	522	-0.29836404	---	---	1.0	0.0	6106	tags=48%, list=31%, signal=67%	
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_CELL_CYCLE_CHECKPOINTS	Details ...	270	-0.2975723	---	---	1.0	0.0	6050	tags=48%, list=31%, signal=68%	
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Details ...	361	-0.19252579	---	---	1.0	0.0	3701	tags=25%, list=19%, signal=31%	
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Details ...	280	-0.3711955	---	---	1.0	0.0	7118	tags=58%, list=36%, signal=90%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	293	-0.47397295	---	---	1.0	0.0	7901	tags=67%, list=40%, signal=110%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	1310	-0.21465102	---	---	1.0	0.0	4798	tags=35%, list=24%, signal=44%	
REACTOME_DNA_REPAIR	REACTOME_DNA_REPAIR	Details ...	309	-0.20517966	---	---	1.0	0.0	6115	tags=42%, list=31%, signal=60%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	702	-0.40927455	---	---	1.0	0.0	7233	tags=60%, list=37%, signal=92%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Details ...	759	-0.20833495	---	---	1.0	0.0	6092	tags=42%, list=31%, signal=59%	
REACTOME_SARS_COV_2_INFECTION	REACTOME_SARS_COV_2_INFECTION	Details ...	280	-0.16947179	---	---	1.0	0.0	6214	tags=42%, list=32%, signal=60%	
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	Details ...	193	-0.27891976	---	---	1.0	0.0	5595	tags=55%, list=29%, signal=76%	
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	Details ...	676	-0.18344265	---	---	1.0	0.0	5187	tags=35%, list=26%, signal=46%	
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION		301	-0.37967983	---	---	1.0	0.0	6066	tags=55%, list=31%, signal=79%	
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION		374	-0.26829192	---	---	1.0	0.0	5253	tags=42%, list=27%, signal=57%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT		102	-0.5932058	-3.0269787	0.0	0.0	0.0	5413	tags=66%, list=28%, signal=90%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE		85	-0.62758225	-2.9851558	0.0	0.0	0.0	5501	tags=74%, list=28%, signal=103%	
