NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.70257103	2.5142376	0.0	0.0	0.0	3292	tags=63%, list=17%, signal=76%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	114	0.68259776	2.508723	0.0	0.0	0.0	3292	tags=65%, list=17%, signal=78%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	79	0.7074001	2.485997	0.0	0.0	0.0	3533	tags=70%, list=18%, signal=85%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	71	0.7091919	2.442004	0.0	0.0	0.0	3533	tags=72%, list=18%, signal=88%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.72369295	2.4234028	0.0	0.0	0.0	3292	tags=70%, list=17%, signal=84%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	90	0.6858839	2.4176257	0.0	0.0	0.0	1768	tags=41%, list=9%, signal=45%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	31	0.8033179	2.3903203	0.0	0.0	0.0	1395	tags=65%, list=7%, signal=69%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.68531364	2.3233774	0.0	0.0	0.0	3292	tags=67%, list=17%, signal=80%	
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	Details ...	33	0.7668765	2.3160892	0.0	0.0	0.0	1116	tags=42%, list=6%, signal=45%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	185	0.59848404	2.2819214	0.0	0.0	0.0	3321	tags=50%, list=17%, signal=60%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.64248484	2.2664928	0.0	0.0	0.0	4463	tags=66%, list=23%, signal=86%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.6501072	2.2487297	0.0	0.0	0.0	3292	tags=61%, list=17%, signal=73%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.64176583	2.2102752	0.0	0.0	0.0	3292	tags=59%, list=17%, signal=70%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	37	0.7195719	2.2089279	0.0	0.0	0.0	4201	tags=76%, list=22%, signal=97%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	54	0.6710266	2.2083654	0.0	0.0	0.0	3334	tags=54%, list=17%, signal=65%	
