NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	93	0.5990092	2.3456535	0.0	0.0	0.0	4610	tags=49%, list=22%, signal=63%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	52	0.6574589	2.2718084	0.0	4.684154E-4	0.001	3069	tags=52%, list=15%, signal=61%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	67	0.6102009	2.2579577	0.0	3.1227694E-4	0.001	5338	tags=55%, list=25%, signal=74%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Details ...	100	0.566869	2.2400987	0.0	2.342077E-4	0.001	6852	tags=75%, list=33%, signal=111%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	60	0.60668737	2.1907067	0.0	1.8736615E-4	0.001	3656	tags=52%, list=17%, signal=62%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	59	0.6040058	2.186797	0.0	1.5613847E-4	0.001	5338	tags=51%, list=25%, signal=68%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	13	0.86348766	2.1806133	0.0	1.3383296E-4	0.001	1595	tags=77%, list=8%, signal=83%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	92	0.5635446	2.1798594	0.0	1.1710385E-4	0.001	6852	tags=80%, list=33%, signal=119%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	59	0.59788084	2.1700995	0.0	1.0409231E-4	0.001	5338	tags=53%, list=25%, signal=70%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	161	0.5063937	2.162886	0.0	9.368308E-5	0.001	4622	tags=47%, list=22%, signal=60%	
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	Details ...	36	0.65083927	2.139197	0.0	3.2934186E-4	0.004	6370	tags=86%, list=30%, signal=123%	
REACTOME_METALLOTHIONEINS_BIND_METALS	REACTOME_METALLOTHIONEINS_BIND_METALS	Details ...	10	0.9012377	2.125248	0.0	5.281414E-4	0.007	1577	tags=90%, list=7%, signal=97%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	87	0.54481626	2.1248465	0.0	4.8751512E-4	0.007	5338	tags=49%, list=25%, signal=66%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	Details ...	90	0.55016893	2.1203148	0.0	5.819583E-4	0.009	3656	tags=47%, list=17%, signal=56%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	111	0.5193352	2.099455	0.0	6.652564E-4	0.011	6852	tags=69%, list=33%, signal=102%	
