NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	66	0.7256664	2.7459435	0.0	0.0	0.0	1356	tags=38%, list=7%, signal=40%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	41	0.7755012	2.676745	0.0	0.0	0.0	1250	tags=49%, list=6%, signal=52%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	50	0.7338318	2.6313655	0.0	0.0	0.0	1250	tags=40%, list=6%, signal=43%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	42	0.7391425	2.6237526	0.0	0.0	0.0	1250	tags=48%, list=6%, signal=51%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	38	0.7470003	2.5506072	0.0	0.0	0.0	1250	tags=53%, list=6%, signal=56%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	47	0.72040415	2.5431128	0.0	0.0	0.0	1250	tags=43%, list=6%, signal=45%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	38	0.7354253	2.4870265	0.0	0.0	0.0	1250	tags=45%, list=6%, signal=48%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	50	0.6818564	2.4579527	0.0	0.0	0.0	1250	tags=36%, list=6%, signal=38%	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS	Details ...	68	0.643662	2.438254	0.0	0.0	0.0	1809	tags=37%, list=9%, signal=40%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	45	0.6877565	2.4312086	0.0	0.0	0.0	1250	tags=38%, list=6%, signal=40%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	61	0.64234084	2.4291334	0.0	0.0	0.0	1250	tags=34%, list=6%, signal=37%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	43	0.7042185	2.4253902	0.0	0.0	0.0	1250	tags=47%, list=6%, signal=49%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	88	0.5919948	2.3715575	0.0	0.0	0.0	1356	tags=28%, list=7%, signal=30%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	Details ...	65	0.6257225	2.3570466	0.0	0.0	0.0	1250	tags=32%, list=6%, signal=34%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	Details ...	64	0.6218526	2.3409374	0.0	0.0	0.0	1250	tags=31%, list=6%, signal=33%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS	Details ...	55	0.63839126	2.3304157	0.0	0.0	0.0	1250	tags=31%, list=6%, signal=33%	
REACTOME_AMYLOID_FIBER_FORMATION	REACTOME_AMYLOID_FIBER_FORMATION	Details ...	81	0.58149725	2.2869587	0.0	4.8196533E-5	0.001	1250	tags=28%, list=6%, signal=30%	
