NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	93	-0.68777746	-2.3054032	0.0	0.0	0.0	3280	tags=58%, list=18%, signal=70%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	67	-0.69025457	-2.2227972	0.0	0.0	0.0	3280	tags=61%, list=18%, signal=74%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	59	-0.69788325	-2.2164714	0.0	0.0	0.0	2842	tags=58%, list=15%, signal=68%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	148	-0.6053719	-2.200783	0.0	0.0	0.0	2842	tags=48%, list=15%, signal=56%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	77	-0.6578354	-2.1729176	0.0	0.0	0.0	3329	tags=51%, list=18%, signal=61%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	162	-0.5976064	-2.1682708	0.0	0.0	0.0	4079	tags=54%, list=22%, signal=69%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	76	-0.6497983	-2.1426077	0.0	0.0	0.0	2842	tags=51%, list=15%, signal=60%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	61	-0.6619611	-2.1104653	0.0	1.5943115E-4	0.001	3280	tags=52%, list=18%, signal=63%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	121	-0.59520453	-2.0855517	0.0	1.4171658E-4	0.001	3580	tags=40%, list=19%, signal=49%	
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	Details ...	135	-0.5780933	-2.0498867	0.0	7.556592E-4	0.006	3654	tags=39%, list=20%, signal=48%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	592	-0.49656397	-2.0384815	0.0	0.0010339929	0.009	2842	tags=34%, list=15%, signal=39%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	59	-0.63615084	-1.9664242	0.0	0.0053984458	0.052	3280	tags=54%, list=18%, signal=66%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	76	-0.5884645	-1.9480602	0.0	0.0072662323	0.073	4452	tags=59%, list=24%, signal=77%	
REACTOME_SYNDECAN_INTERACTIONS	REACTOME_SYNDECAN_INTERACTIONS	Details ...	27	-0.6984433	-1.9458828	0.0	0.007103338	0.077	4127	tags=70%, list=22%, signal=90%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	87	-0.5829914	-1.9394112	0.0	0.008208156	0.095	2842	tags=51%, list=15%, signal=59%	
REACTOME_GAP_JUNCTION_ASSEMBLY	REACTOME_GAP_JUNCTION_ASSEMBLY	Details ...	25	-0.7175153	-1.9348675	0.0	0.008938956	0.11	2580	tags=72%, list=14%, signal=83%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Details ...	244	-0.5029601	-1.9168986	0.0	0.01082517	0.139	2816	tags=32%, list=15%, signal=37%	
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	Details ...	18	-0.76738167	-1.912856	0.0	0.010917883	0.149	2580	tags=78%, list=14%, signal=90%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	51	-0.6268853	-1.894263	0.0	0.014198942	0.197	3280	tags=57%, list=18%, signal=69%	
REACTOME_KINESINS	REACTOME_KINESINS	Details ...	56	-0.5980144	-1.892406	0.0015698588	0.013867652	0.201	2580	tags=45%, list=14%, signal=52%	
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION		38	-0.6513202	-1.8907369	0.0	0.013678631	0.207	2580	tags=50%, list=14%, signal=58%	
REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III	REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III		29	-0.68484986	-1.8894436	0.0	0.01355752	0.213	2580	tags=45%, list=14%, signal=52%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM		983	-0.44784123	-1.8635718	0.0	0.020458208	0.319	3329	tags=27%, list=18%, signal=32%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		174	-0.5085861	-1.8630998	0.0	0.019864988	0.322	5409	tags=49%, list=29%, signal=68%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS		184	-0.50270665	-1.862085	0.0	0.01956899	0.328	3580	tags=30%, list=19%, signal=37%	
