NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	93	0.85977316	2.7448187	0.0	0.0	0.0	1081	tags=69%, list=5%, signal=72%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	68	0.89361274	2.7443364	0.0	0.0	0.0	987	tags=84%, list=5%, signal=88%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	60	0.89663875	2.6772861	0.0	0.0	0.0	987	tags=85%, list=5%, signal=89%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	52	0.9116889	2.6737525	0.0	0.0	0.0	987	tags=85%, list=5%, signal=89%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	107	0.8312558	2.6723313	0.0	0.0	0.0	987	tags=43%, list=5%, signal=45%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	60	0.8999532	2.6558168	0.0	0.0	0.0	987	tags=78%, list=5%, signal=82%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	60	0.9006021	2.6515346	0.0	0.0	0.0	1133	tags=83%, list=6%, signal=88%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	124	0.7904635	2.6472785	0.0	0.0	0.0	1113	tags=35%, list=6%, signal=36%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	85	0.84490687	2.6428711	0.0	0.0	0.0	987	tags=56%, list=5%, signal=59%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	61	0.87732077	2.636565	0.0	0.0	0.0	987	tags=69%, list=5%, signal=72%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	73	0.8670671	2.633445	0.0	0.0	0.0	987	tags=66%, list=5%, signal=69%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	89	0.81450146	2.6306415	0.0	0.0	0.0	1219	tags=63%, list=6%, signal=67%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	77	0.8583736	2.6099901	0.0	0.0	0.0	987	tags=58%, list=5%, signal=61%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	77	0.84111714	2.5973299	0.0	0.0	0.0	987	tags=55%, list=5%, signal=57%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	134	0.7802033	2.5912125	0.0	0.0	0.0	987	tags=36%, list=5%, signal=37%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	155	0.7573044	2.5817788	0.0	0.0	0.0	987	tags=29%, list=5%, signal=30%	
