NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	81	-0.55749243	-1.972491	0.0	0.069617726	0.065	2941	tags=48%, list=15%, signal=56%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	76	-0.55651516	-1.9601805	0.0	0.044137243	0.084	3093	tags=51%, list=16%, signal=61%	
REACTOME_MISCELLANEOUS_SUBSTRATES	REACTOME_MISCELLANEOUS_SUBSTRATES	Details ...	11	-0.8273208	-1.9169304	0.002232143	0.063503586	0.173	2485	tags=64%, list=12%, signal=73%	
REACTOME_OLFACTORY_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Details ...	26	-0.6659616	-1.8757088	0.0022624435	0.089129634	0.29	1393	tags=38%, list=7%, signal=41%	
REACTOME_ARACHIDONIC_ACID_METABOLISM	REACTOME_ARACHIDONIC_ACID_METABOLISM	Details ...	53	-0.5554825	-1.8732941	0.0	0.07463138	0.303	1423	tags=32%, list=7%, signal=34%	
REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	Details ...	7	-0.89360505	-1.863291	0.0	0.071721084	0.339	1423	tags=57%, list=7%, signal=62%	
REACTOME_FATTY_ACIDS	REACTOME_FATTY_ACIDS	Details ...	11	-0.80648243	-1.8559169	0.002173913	0.07050366	0.379	1035	tags=45%, list=5%, signal=48%	
REACTOME_GAP_JUNCTION_ASSEMBLY	REACTOME_GAP_JUNCTION_ASSEMBLY	Details ...	30	-0.63672465	-1.852015	0.0023980816	0.06400652	0.393	2879	tags=47%, list=14%, signal=54%	
REACTOME_FATTY_ACID_METABOLISM	REACTOME_FATTY_ACID_METABOLISM	Details ...	164	-0.4673617	-1.8327526	0.0	0.0787277	0.507	3939	tags=37%, list=20%, signal=45%	
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX	REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX	Details ...	18	-0.7064885	-1.8136524	0.0022988506	0.09337896	0.605	1035	tags=39%, list=5%, signal=41%	
REACTOME_CHOLESTEROL_BIOSYNTHESIS	REACTOME_CHOLESTEROL_BIOSYNTHESIS	Details ...	27	-0.63148934	-1.8107053	0.004640371	0.088673234	0.621	5282	tags=67%, list=27%, signal=91%	
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1	REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1	Details ...	14	-0.7400148	-1.8028504	0.0	0.089936055	0.656	460	tags=29%, list=2%, signal=29%	
REACTOME_DEFECTIVE_GALNT3_CAUSES_HFTC	REACTOME_DEFECTIVE_GALNT3_CAUSES_HFTC	Details ...	16	-0.70621	-1.7974399	0.002079002	0.0901916	0.688	1686	tags=56%, list=8%, signal=61%	
REACTOME_CREATINE_METABOLISM	REACTOME_CREATINE_METABOLISM	Details ...	11	-0.74747366	-1.7750928	0.007843138	0.113458894	0.789	2934	tags=64%, list=15%, signal=75%	
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	Details ...	23	-0.6385852	-1.7688841	0.0022624435	0.11435828	0.814	1686	tags=39%, list=8%, signal=43%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION	Details ...	19	-0.6736399	-1.7649285	0.002232143	0.11213774	0.825	1884	tags=53%, list=9%, signal=58%	
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS	REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS	Details ...	17	-0.6827781	-1.7554556	0.004597701	0.119312376	0.866	1686	tags=47%, list=8%, signal=51%	
REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS	REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS	Details ...	23	-0.6238169	-1.750858	0.008810572	0.11903169	0.88	4709	tags=57%, list=24%, signal=74%	
REACTOME_METALLOTHIONEINS_BIND_METALS	REACTOME_METALLOTHIONEINS_BIND_METALS	Details ...	10	-0.78622216	-1.7495812	0.0	0.11436894	0.886	2812	tags=80%, list=14%, signal=93%	
REACTOME_DIGESTION_OF_DIETARY_LIPID	REACTOME_DIGESTION_OF_DIETARY_LIPID	Details ...	7	-0.8585457	-1.7401464	0.006355932	0.123380795	0.917	1550	tags=57%, list=8%, signal=62%	
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION		43	-0.5429177	-1.7292333	0.0	0.13474338	0.946	4729	tags=51%, list=24%, signal=67%	
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS		11	-0.7385297	-1.7175226	0.002232143	0.14857268	0.973	1203	tags=45%, list=6%, signal=48%	
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION		15	-0.7024989	-1.7151642	0.0	0.14652267	0.975	460	tags=27%, list=2%, signal=27%	
REACTOME_SERINE_BIOSYNTHESIS	REACTOME_SERINE_BIOSYNTHESIS		8	-0.8072265	-1.7115245	0.002202643	0.14714295	0.981	1429	tags=50%, list=7%, signal=54%	
REACTOME_DIGESTION	REACTOME_DIGESTION		16	-0.6850599	-1.6952678	0.017660044	0.1687809	0.989	1884	tags=50%, list=9%, signal=55%	
CHOLESTEROL SYNTHESIS	CHOLESTEROL SYNTHESIS		10	-0.74471724	-1.6902053	0.010416667	0.17221141	0.99	4333	tags=90%, list=22%, signal=115%	
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS		74	-0.48856112	-1.6863059	0.0	0.17327595	0.993	1820	tags=31%, list=9%, signal=34%	
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS		11	-0.72456723	-1.6819029	0.012875536	0.1757135	0.996	1799	tags=36%, list=9%, signal=40%	
REACTOME_EICOSANOIDS	REACTOME_EICOSANOIDS		11	-0.7298461	-1.6747925	0.0	0.18282703	0.998	1035	tags=45%, list=5%, signal=48%	
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_SEVERAL_ADDITIONAL_CELL_DEATH_GENES_WHOSE_SPECIFIC_ROLES_IN_P53_DEPENDENT_APOPTOSIS_REMAIN_UNCERTAIN	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_SEVERAL_ADDITIONAL_CELL_DEATH_GENES_WHOSE_SPECIFIC_ROLES_IN_P53_DEPENDENT_APOPTOSIS_REMAIN_UNCERTAIN		14	-0.6813552	-1.6731536	0.020089285	0.1800092	0.998	3352	tags=50%, list=17%, signal=60%	
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY		11	-0.7289888	-1.6623195	0.019607844	0.19577657	1.0	3023	tags=55%, list=15%, signal=64%	
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS		12	-0.71704507	-1.6581852	0.0065502184	0.19826849	1.0	1350	tags=25%, list=7%, signal=27%	
