NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	21	0.7876293	2.0686827	0.0	0.00631063	0.009	2609	tags=76%, list=14%, signal=88%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	32	0.67670554	1.9452347	0.0015822785	0.029165437	0.081	2832	tags=56%, list=15%, signal=66%	
REACTOME_RA_BIOSYNTHESIS_PATHWAY	REACTOME_RA_BIOSYNTHESIS_PATHWAY	Details ...	19	0.7443698	1.9387262	0.0	0.02157048	0.088	844	tags=32%, list=5%, signal=33%	
REACTOME_SENSORY_PERCEPTION_OF_TASTE	REACTOME_SENSORY_PERCEPTION_OF_TASTE	Details ...	23	0.7138148	1.9046851	0.0	0.03385024	0.175	2590	tags=39%, list=14%, signal=45%	
REACTOME_SIGNALING_BY_RETINOIC_ACID	REACTOME_SIGNALING_BY_RETINOIC_ACID	Details ...	39	0.6229554	1.8442124	0.0	0.08033571	0.432	844	tags=18%, list=5%, signal=19%	
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION	REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION	Details ...	13	0.76842964	1.8053635	0.005226481	0.124017574	0.651	3177	tags=69%, list=17%, signal=83%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	12	0.7900393	1.7943598	0.001814882	0.1256518	0.72	138	tags=33%, list=1%, signal=34%	
REACTOME_XENOBIOTICS	REACTOME_XENOBIOTICS	Details ...	16	0.725123	1.7741945	0.0	0.14806728	0.82	2011	tags=44%, list=11%, signal=49%	
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	Details ...	20	0.6825009	1.7725024	0.0049586776	0.13528912	0.827	2326	tags=35%, list=12%, signal=40%	
REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO	REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO	Details ...	10	0.8055483	1.7721452	0.0016835016	0.1228823	0.83	1470	tags=60%, list=8%, signal=65%	
