NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	1365	-0.20811738	---	---	1.0	0.0	5468	tags=34%, list=26%, signal=43%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	204	-0.7308348	-3.2642996	0.0	0.0	0.0	582	tags=46%, list=3%, signal=47%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.5790287	-2.2746685	0.0	0.0011462684	0.002	7430	tags=77%, list=36%, signal=119%	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	1079	-0.43962735	-2.1695719	0.0	0.004341305	0.01	1919	tags=18%, list=9%, signal=19%	
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	Details ...	13	-0.789339	-2.0523133	0.0	0.025256742	0.069	1742	tags=54%, list=8%, signal=59%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	Details ...	60	-0.55008745	-2.04335	0.0	0.024862612	0.081	5336	tags=58%, list=26%, signal=78%	
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	Details ...	21	-0.6791879	-1.9891171	0.0	0.0471833	0.174	1513	tags=38%, list=7%, signal=41%	
REACTOME_LINOLEIC_ACID_LA_METABOLISM	REACTOME_LINOLEIC_ACID_LA_METABOLISM	Details ...	8	-0.87180007	-1.9749912	0.0	0.05206791	0.21	1742	tags=88%, list=8%, signal=95%	
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	Details ...	24	-0.640038	-1.9633037	0.0	0.0543516	0.24	4888	tags=67%, list=24%, signal=87%	
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	Details ...	55	-0.51728743	-1.9611828	0.0	0.050321158	0.247	3950	tags=44%, list=19%, signal=54%	
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	Details ...	35	-0.59364974	-1.9599785	0.0	0.046888553	0.248	6511	tags=69%, list=31%, signal=100%	
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	Details ...	64	-0.5046502	-1.9498578	0.0	0.047954537	0.274	5561	tags=47%, list=27%, signal=64%	
