NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	471	-0.5735793	-2.3933208	0.0	0.0	0.0	3440	tags=44%, list=19%, signal=52%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	69	-0.71149856	-2.3669512	0.0	0.0	0.0	2052	tags=52%, list=11%, signal=58%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES	Details ...	41	-0.76108813	-2.3531895	0.0	0.0	0.0	1777	tags=59%, list=10%, signal=65%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	72	-0.6795282	-2.2876492	0.0	0.0	0.0	2052	tags=50%, list=11%, signal=56%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	121	-0.62480915	-2.2607164	0.0	0.0	0.0	2335	tags=35%, list=13%, signal=39%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	-0.6897562	-2.2391655	0.0	0.0	0.0	2768	tags=62%, list=15%, signal=73%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Details ...	185	-0.5807903	-2.2286828	0.0	0.0	0.0	3894	tags=44%, list=21%, signal=56%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	230	-0.5639212	-2.2266233	0.0	0.0	0.0	3894	tags=42%, list=21%, signal=52%	
REACTOME_SYNTHESIS_OF_DNA	REACTOME_SYNTHESIS_OF_DNA	Details ...	120	-0.614283	-2.2246192	0.0	0.0	0.0	5140	tags=63%, list=28%, signal=86%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	-0.64883226	-2.2023966	0.0	0.0	0.0	2768	tags=54%, list=15%, signal=63%	
