NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	71	0.63288707	2.3353443	0.0	0.0	0.0	1947	tags=34%, list=10%, signal=38%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	46	0.6092432	2.070389	0.0	0.01365528	0.039	1947	tags=41%, list=10%, signal=46%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	51	0.58854735	2.0525353	0.0	0.011838046	0.051	2310	tags=43%, list=12%, signal=49%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	42	0.6041718	2.0368018	0.0	0.010624333	0.061	1947	tags=45%, list=10%, signal=50%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	54	0.5785006	2.0173166	0.0	0.011424267	0.079	2310	tags=39%, list=12%, signal=44%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	47	0.58312994	2.0035362	0.0	0.012535663	0.104	1947	tags=40%, list=10%, signal=45%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	93	0.5184876	2.000629	0.0	0.011353572	0.109	2084	tags=27%, list=11%, signal=30%	
REACTOME_HATS_ACETYLATE_HISTONES	REACTOME_HATS_ACETYLATE_HISTONES	Details ...	118	0.4894935	1.9831916	0.0	0.013311151	0.142	2380	tags=24%, list=13%, signal=27%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	45	0.5897549	1.9789786	0.0	0.012759567	0.153	1947	tags=42%, list=10%, signal=47%	
REACTOME_METALLOTHIONEINS_BIND_METALS	REACTOME_METALLOTHIONEINS_BIND_METALS	Details ...	8	0.88547224	1.9597417	0.0	0.015122348	0.195	2130	tags=100%, list=11%, signal=113%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	52	0.55287147	1.9521743	0.0	0.015956432	0.224	1947	tags=33%, list=10%, signal=36%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	Details ...	75	0.5100828	1.920478	0.0	0.022504387	0.318	1947	tags=28%, list=10%, signal=31%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	40	0.5736664	1.9177558	0.0026666666	0.021298833	0.327	1947	tags=40%, list=10%, signal=45%	
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	Details ...	10	0.79991543	1.9037286	0.002375297	0.02458158	0.393	309	tags=60%, list=2%, signal=61%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	47	0.5442853	1.9015639	0.0	0.023777239	0.402	1947	tags=34%, list=10%, signal=38%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	11	0.76936316	1.8781822	0.0024390244	0.030239891	0.501	2130	tags=82%, list=11%, signal=92%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	Details ...	69	0.5018424	1.8682094	0.0	0.032929406	0.554	2553	tags=35%, list=14%, signal=40%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Details ...	69	0.5001848	1.8572477	0.0	0.035947263	0.61	1947	tags=29%, list=10%, signal=32%	
