NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	47	0.8403286	2.9098656	0.0	0.0	0.0	2458	tags=81%, list=11%, signal=90%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	47	0.81875664	2.87304	0.0	0.0	0.0	2169	tags=74%, list=9%, signal=82%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	64	0.778272	2.8646903	0.0	0.0	0.0	2169	tags=55%, list=9%, signal=60%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	60	0.7972544	2.864403	0.0	0.0	0.0	2169	tags=60%, list=9%, signal=66%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	63	0.7785265	2.8617544	0.0	0.0	0.0	1873	tags=52%, list=8%, signal=57%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	47	0.84153146	2.8571107	0.0	0.0	0.0	2169	tags=83%, list=9%, signal=91%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	55	0.8103395	2.8371089	0.0	0.0	0.0	2458	tags=78%, list=11%, signal=87%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	76	0.7561886	2.7970364	0.0	0.0	0.0	2458	tags=63%, list=11%, signal=70%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	39	0.8466304	2.790093	0.0	0.0	0.0	2500	tags=82%, list=11%, signal=92%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	64	0.75178826	2.728244	0.0	0.0	0.0	2500	tags=58%, list=11%, signal=65%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	48	0.79630935	2.7232854	0.0	0.0	0.0	1873	tags=60%, list=8%, signal=66%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	73	0.73363984	2.710325	0.0	0.0	0.0	1963	tags=49%, list=9%, signal=54%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	148	0.649022	2.6984837	0.0	0.0	0.0	2638	tags=49%, list=11%, signal=55%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	94	0.68632096	2.6128366	0.0	0.0	0.0	1963	tags=40%, list=9%, signal=44%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	113	0.6558027	2.6080637	0.0	0.0	0.0	1873	tags=27%, list=8%, signal=29%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	108	0.65435725	2.591083	0.0	0.0	0.0	1963	tags=40%, list=9%, signal=43%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	121	0.6263228	2.5229933	0.0	0.0	0.0	1963	tags=32%, list=9%, signal=35%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	86	0.6508576	2.5057914	0.0	0.0	0.0	2458	tags=55%, list=11%, signal=61%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	21	0.86162424	2.4886835	0.0	0.0	0.0	916	tags=62%, list=4%, signal=64%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	32	0.78424865	2.4679968	0.0	0.0	0.0	1029	tags=47%, list=4%, signal=49%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS		132	0.57584006	2.3486876	0.0	0.0	0.0	2169	tags=32%, list=9%, signal=35%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		160	0.5614217	2.3466058	0.0	0.0	0.0	3231	tags=45%, list=14%, signal=52%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR		144	0.57107544	2.3449318	0.0	0.0	0.0	2500	tags=28%, list=11%, signal=31%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		192	0.5405891	2.3344073	0.0	0.0	0.0	2734	tags=32%, list=12%, signal=36%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		163	0.5512901	2.3297954	0.0	0.0	0.0	2169	tags=23%, list=9%, signal=25%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES		49	0.63824195	2.2088366	0.0	8.01053E-5	0.003	2535	tags=47%, list=11%, signal=53%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY		66	0.5900913	2.1581972	0.0	1.8295666E-4	0.007	2910	tags=35%, list=13%, signal=40%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING		88	0.55116373	2.1156151	0.0	4.7685052E-4	0.019	2579	tags=28%, list=11%, signal=32%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN		13	0.8147479	2.0664291	0.0	0.0011577706	0.046	313	tags=31%, list=1%, signal=31%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION		94	0.51137215	2.001933	0.0	0.0030762255	0.121	7760	tags=73%, list=34%, signal=110%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE		9	0.8445129	1.952596	0.0019455253	0.0076761	0.286	313	tags=44%, list=1%, signal=45%	
REACTOME_ELASTIC_FIBRE_FORMATION	REACTOME_ELASTIC_FIBRE_FORMATION		43	0.5773899	1.9449985	0.0018621974	0.008267114	0.311	4355	tags=53%, list=19%, signal=66%	
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES		36	0.59417206	1.9310529	0.0	0.009841899	0.368	4355	tags=58%, list=19%, signal=72%	
REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING		117	0.48006147	1.9159559	0.0	0.011938482	0.429	1055	tags=15%, list=5%, signal=16%	
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX	REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX		15	0.7090872	1.8973109	0.0018796993	0.015098457	0.521	1431	tags=40%, list=6%, signal=43%	
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS		42	0.5709805	1.8967075	0.0019120459	0.014854519	0.527	6061	tags=62%, list=26%, signal=84%	
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS		14	0.7436725	1.8921806	0.0036101083	0.015530965	0.556	4061	tags=71%, list=18%, signal=87%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS		82	0.49143258	1.8655527	0.0	0.021848008	0.674	4216	tags=50%, list=18%, signal=61%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION		43	0.57161	1.8653065	0.0	0.021376967	0.676	4216	tags=65%, list=18%, signal=80%	
REACTOME_HEME_SIGNALING	REACTOME_HEME_SIGNALING		48	0.54226154	1.8584491	0.0	0.022921301	0.713	2044	tags=15%, list=9%, signal=16%	
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS		264	0.41499242	1.8462399	0.0	0.02571861	0.757	3412	tags=33%, list=15%, signal=38%	
REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION		5	0.9278606	1.8446616	0.001980198	0.025555765	0.763	1664	tags=100%, list=7%, signal=108%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION		291	0.40379092	1.8431901	0.0	0.025480622	0.773	4240	tags=40%, list=18%, signal=48%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY		102	0.46454757	1.8407166	0.0	0.02560428	0.782	7804	tags=71%, list=34%, signal=106%	
REACTOME_GPCR_LIGAND_BINDING	REACTOME_GPCR_LIGAND_BINDING		366	0.39244762	1.8276794	0.0	0.0293412	0.835	3412	tags=30%, list=15%, signal=35%	
REACTOME_KERATAN_SULFATE_DEGRADATION	REACTOME_KERATAN_SULFATE_DEGRADATION		12	0.7333783	1.8089381	0.0039525693	0.036029436	0.905	950	tags=33%, list=4%, signal=35%	
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS		27	0.59725994	1.7974554	0.001858736	0.040228087	0.931	4281	tags=67%, list=19%, signal=82%	
REACTOME_CYTOPROTECTION_BY_HMOX1	REACTOME_CYTOPROTECTION_BY_HMOX1		63	0.4874313	1.7896476	0.0017513135	0.042916905	0.94	461	tags=6%, list=2%, signal=6%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS		73	0.47257414	1.7734629	0.0034542314	0.0507725	0.975	3639	tags=41%, list=16%, signal=49%	
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES		8	0.7926796	1.7619752	0.0020876827	0.055630494	0.983	1997	tags=75%, list=9%, signal=82%	
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE		22	0.62112445	1.7601637	0.00591716	0.055575855	0.984	1636	tags=36%, list=7%, signal=39%	
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION		12	0.7008705	1.755325	0.007707129	0.05708416	0.99	3899	tags=58%, list=17%, signal=70%	
REACTOME_HDL_REMODELING	REACTOME_HDL_REMODELING		10	0.7333304	1.7397947	0.006	0.06625994	0.995	3994	tags=60%, list=17%, signal=73%	
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS		155	0.40708986	1.7024276	0.0	0.09496016	1.0	3280	tags=29%, list=14%, signal=34%	
