NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	62	-0.7816946	-2.7465458	0.0	0.0	0.0	2422	tags=74%, list=13%, signal=85%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	80	-0.736541	-2.7388568	0.0	0.0	0.0	3012	tags=66%, list=17%, signal=79%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	79	-0.7420978	-2.7152746	0.0	0.0	0.0	3077	tags=71%, list=17%, signal=85%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	62	-0.76410854	-2.704507	0.0	0.0	0.0	3077	tags=76%, list=17%, signal=91%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	70	-0.7580852	-2.695719	0.0	0.0	0.0	2431	tags=70%, list=13%, signal=80%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	55	-0.785818	-2.676221	0.0	0.0	0.0	2422	tags=76%, list=13%, signal=88%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	65	-0.7549409	-2.6632726	0.0	0.0	0.0	3079	tags=72%, list=17%, signal=87%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	85	-0.72081095	-2.643294	0.0	0.0	0.0	3472	tags=66%, list=19%, signal=81%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	75	-0.72701	-2.6190279	0.0	0.0	0.0	2422	tags=60%, list=13%, signal=69%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	109	-0.66968876	-2.5968926	0.0	0.0	0.0	3553	tags=62%, list=20%, signal=77%	
