NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	69	0.621588	2.1386971	0.0	6.1946904E-4	0.001	3420	tags=39%, list=17%, signal=47%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	50	0.6288846	2.0641785	0.0	0.0015409245	0.005	3215	tags=46%, list=16%, signal=55%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	53	0.6209269	2.0603096	0.0	0.0014414846	0.007	3420	tags=45%, list=17%, signal=55%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	63	0.5949587	2.0602925	0.0	0.0010811135	0.007	3246	tags=41%, list=16%, signal=49%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	53	0.6245312	2.0465071	0.0	0.0011077869	0.009	3215	tags=40%, list=16%, signal=47%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	44	0.6294066	2.038199	0.0	9.2315575E-4	0.009	3215	tags=50%, list=16%, signal=60%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	91	0.56102115	2.0282347	0.0	0.0012371435	0.014	3215	tags=29%, list=16%, signal=34%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	41	0.64885575	2.0100281	0.0	0.0017027119	0.022	3215	tags=54%, list=16%, signal=64%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	46	0.62093866	1.9868587	0.0	0.0024162347	0.033	3215	tags=48%, list=16%, signal=57%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	45	0.613875	1.9686499	0.0	0.0030975773	0.048	3711	tags=53%, list=19%, signal=65%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS	Details ...	59	0.595729	1.9654058	0.0	0.0029292374	0.05	3215	tags=39%, list=16%, signal=46%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	50	0.60703707	1.9590712	0.0	0.0031508284	0.059	3451	tags=46%, list=17%, signal=56%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Details ...	68	0.5678647	1.9537724	0.0	0.0032883966	0.067	3215	tags=35%, list=16%, signal=42%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	41	0.6268082	1.9423027	0.0	0.0041163056	0.089	3711	tags=54%, list=19%, signal=66%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION	Details ...	60	0.58212984	1.939453	0.0	0.0039237994	0.091	3246	tags=42%, list=16%, signal=50%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	Details ...	68	0.56450266	1.9369047	0.0	0.003678562	0.091	3215	tags=37%, list=16%, signal=44%	
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	Details ...	97	0.52771604	1.9247794	0.0	0.0042989207	0.113	3378	tags=30%, list=17%, signal=36%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	Details ...	67	0.5596277	1.9228152	0.0	0.0040941057	0.114	3215	tags=33%, list=16%, signal=39%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	48	0.599366	1.9177039	0.0	0.0042723077	0.125	3711	tags=48%, list=19%, signal=59%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	Details ...	88	0.53361815	1.9139297	0.0	0.0044939634	0.137	3711	tags=33%, list=19%, signal=40%	
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		83	0.52724063	1.8844115	0.0	0.0071700756	0.221	3711	tags=34%, list=19%, signal=41%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS		84	0.52402645	1.8816829	0.0	0.0072670723	0.233	3215	tags=27%, list=16%, signal=33%	
REACTOME_SENSORY_PERCEPTION_OF_TASTE	REACTOME_SENSORY_PERCEPTION_OF_TASTE		27	0.65151787	1.8587999	0.0	0.0105046425	0.331	2527	tags=41%, list=13%, signal=47%	
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		86	0.5173523	1.8449471	0.0	0.01246672	0.384	3711	tags=31%, list=19%, signal=38%	
