NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	987	-0.3477273	---	---	1.0	0.0	2883	tags=25%, list=16%, signal=28%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	1313	-0.20734914	---	---	1.0	0.0	4539	tags=32%, list=25%, signal=40%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	63	-0.8379267	-3.1880393	0.0	0.0	0.0	885	tags=54%, list=5%, signal=57%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	72	-0.8281796	-3.1855412	0.0	0.0	0.0	1030	tags=65%, list=6%, signal=69%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	101	-0.77782404	-3.1523027	0.0	0.0	0.0	1030	tags=54%, list=6%, signal=57%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	64	-0.84316283	-3.1418495	0.0	0.0	0.0	1030	tags=67%, list=6%, signal=71%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	55	-0.854764	-3.1270328	0.0	0.0	0.0	885	tags=64%, list=5%, signal=67%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	63	-0.8430592	-3.1164768	0.0	0.0	0.0	885	tags=57%, list=5%, signal=60%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	79	-0.78374535	-3.0695984	0.0	0.0	0.0	885	tags=44%, list=5%, signal=46%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	110	-0.73895705	-3.043231	0.0	0.0	0.0	885	tags=34%, list=5%, signal=35%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	78	-0.7798402	-3.007593	0.0	0.0	0.0	885	tags=44%, list=5%, signal=46%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	79	-0.77049106	-2.970857	0.0	0.0	0.0	885	tags=43%, list=5%, signal=45%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	88	-0.75816613	-2.9582176	0.0	0.0	0.0	885	tags=41%, list=5%, signal=43%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	76	-0.7594497	-2.9008405	0.0	0.0	0.0	885	tags=47%, list=5%, signal=50%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	62	-0.77511644	-2.846987	0.0	0.0	0.0	963	tags=65%, list=5%, signal=68%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	90	-0.7132977	-2.846287	0.0	0.0	0.0	1145	tags=54%, list=6%, signal=58%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	137	-0.6573898	-2.8039927	0.0	0.0	0.0	885	tags=27%, list=5%, signal=28%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	168	-0.63520247	-2.790591	0.0	0.0	0.0	1081	tags=32%, list=6%, signal=33%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	126	-0.65121764	-2.6863735	0.0	0.0	0.0	2704	tags=44%, list=15%, signal=51%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	124	-0.6417253	-2.6530612	0.0	0.0	0.0	944	tags=31%, list=5%, signal=33%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR		157	-0.60921407	-2.6048417	0.0	0.0	0.0	2704	tags=38%, list=15%, signal=44%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS		146	-0.6045114	-2.5665123	0.0	0.0	0.0	885	tags=24%, list=5%, signal=25%	
