NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	68	0.7600007	2.5234494	0.0	0.0	0.0	2194	tags=65%, list=11%, signal=73%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	68	0.74069864	2.5009193	0.0	0.0	0.0	2149	tags=59%, list=11%, signal=66%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	60	0.7490866	2.4568093	0.0	0.0	0.0	2149	tags=62%, list=11%, signal=69%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	0.72435635	2.4534953	0.0	0.0	0.0	2149	tags=58%, list=11%, signal=65%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	81	0.6907139	2.4005058	0.0	0.0	0.0	2149	tags=51%, list=11%, signal=57%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	0.661872	2.3345733	0.0	0.0	0.0	2194	tags=48%, list=11%, signal=54%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	70	0.68374056	2.3280966	0.0	0.0	0.0	2149	tags=51%, list=11%, signal=58%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	0.67966527	2.3257587	0.0	0.0	0.0	2149	tags=53%, list=11%, signal=60%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	104	0.6434032	2.2970977	0.0	0.0	0.0	2892	tags=50%, list=15%, signal=59%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	86	0.6434007	2.2929058	0.0	0.0	0.0	2746	tags=47%, list=14%, signal=54%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	85	0.65047026	2.2693229	0.0	0.0	0.0	2746	tags=49%, list=14%, signal=57%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	92	0.6406097	2.2607255	0.0	0.0	0.0	2149	tags=46%, list=11%, signal=51%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	85	0.65054035	2.255585	0.0	0.0	0.0	2149	tags=45%, list=11%, signal=50%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	115	0.61432385	2.2138827	0.0	0.0	0.0	2149	tags=36%, list=11%, signal=40%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	133	0.570145	2.1126642	0.0	3.4382978E-5	0.001	2149	tags=29%, list=11%, signal=33%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	127	0.5701571	2.085126	0.0	3.2234042E-5	0.001	1981	tags=35%, list=10%, signal=38%	
