NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	73	0.69237715	2.5498202	0.0	0.0	0.0	2254	tags=42%, list=12%, signal=48%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME	Details ...	91	0.66543776	2.5185857	0.0	0.0	0.0	1951	tags=38%, list=10%, signal=43%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	48	0.7425931	2.4916184	0.0	0.0	0.0	1422	tags=48%, list=7%, signal=52%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	65	0.690324	2.48779	0.0	0.0	0.0	1422	tags=37%, list=7%, signal=40%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	42	0.7466457	2.4875088	0.0	0.0	0.0	1521	tags=45%, list=8%, signal=49%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	95	0.6399597	2.4662354	0.0	0.0	0.0	1704	tags=29%, list=9%, signal=32%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	45	0.73033184	2.4471648	0.0	0.0	0.0	2193	tags=53%, list=11%, signal=60%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	54	0.7063669	2.4277885	0.0	0.0	0.0	3321	tags=59%, list=17%, signal=71%	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS	Details ...	75	0.6573594	2.42114	0.0	0.0	0.0	1579	tags=33%, list=8%, signal=36%	
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	Details ...	130	0.60274297	2.4167557	0.0	0.0	0.0	679	tags=17%, list=4%, signal=17%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME	Details ...	32	0.7757898	2.411913	0.0	0.0	0.0	985	tags=50%, list=5%, signal=53%	
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	Details ...	33	0.78035194	2.4113674	0.0	0.0	0.0	564	tags=39%, list=3%, signal=41%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION	Details ...	65	0.6681927	2.3984551	0.0	0.0	0.0	2193	tags=40%, list=11%, signal=45%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	49	0.70554936	2.3973663	0.0	0.0	0.0	1422	tags=43%, list=7%, signal=46%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	115	0.6110036	2.3931665	0.0	0.0	0.0	1636	tags=24%, list=9%, signal=26%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	50	0.712766	2.3904684	0.0	0.0	0.0	1422	tags=44%, list=7%, signal=47%	
REACTOME_AMYLOID_FIBER_FORMATION	REACTOME_AMYLOID_FIBER_FORMATION	Details ...	88	0.643244	2.3875325	0.0	0.0	0.0	1422	tags=35%, list=7%, signal=38%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	60	0.6733903	2.3873067	0.0	0.0	0.0	2193	tags=40%, list=11%, signal=45%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	53	0.6800792	2.385137	0.0	0.0	0.0	1422	tags=34%, list=7%, signal=37%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	54	0.6918172	2.376013	0.0	0.0	0.0	2193	tags=44%, list=11%, signal=50%	
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE		73	0.64512914	2.3535104	0.0	0.0	0.0	2912	tags=38%, list=15%, signal=45%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION		49	0.70415497	2.3522148	0.0	0.0	0.0	2193	tags=45%, list=11%, signal=51%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION		57	0.68513536	2.3422098	0.0	0.0	0.0	2193	tags=42%, list=11%, signal=47%	
