NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	162	0.7460644	2.9920614	0.0	0.0	0.0	2770	tags=68%, list=13%, signal=78%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	70	0.8158504	2.9226556	0.0	0.0	0.0	2524	tags=79%, list=12%, signal=89%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	63	0.82182777	2.893879	0.0	0.0	0.0	2524	tags=78%, list=12%, signal=88%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	98	0.77123016	2.8900826	0.0	0.0	0.0	2524	tags=68%, list=12%, signal=78%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	63	0.8192202	2.8786747	0.0	0.0	0.0	2539	tags=79%, list=12%, signal=90%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	62	0.8133574	2.8599975	0.0	0.0	0.0	2524	tags=79%, list=12%, signal=90%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	64	0.7781736	2.80332	0.0	0.0	0.0	2524	tags=67%, list=12%, signal=76%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	55	0.8034107	2.7959034	0.0	0.0	0.0	2524	tags=76%, list=12%, signal=87%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	91	0.72781646	2.7081633	0.0	0.0	0.0	2539	tags=64%, list=12%, signal=72%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	87	0.71943825	2.6722987	0.0	0.0	0.0	2524	tags=60%, list=12%, signal=68%	
