NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	465	0.54819137	2.5002372	0.0	0.0	0.0	3661	tags=39%, list=19%, signal=47%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	12	0.9089448	2.2061253	0.0	0.0	0.0	269	tags=50%, list=1%, signal=51%	
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Details ...	102	0.577022	2.1882732	0.0	0.0011021014	0.002	2993	tags=43%, list=15%, signal=51%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	429	0.47723287	2.1614678	0.0	8.265761E-4	0.002	4741	tags=45%, list=24%, signal=58%	
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Details ...	104	0.56458515	2.1515105	0.0	6.612609E-4	0.002	5749	tags=65%, list=29%, signal=92%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	59	0.6164848	2.1062636	0.0	0.0033696196	0.012	5193	tags=66%, list=27%, signal=90%	
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	Details ...	79	0.5824412	2.1038566	0.0	0.003603454	0.015	6607	tags=73%, list=34%, signal=111%	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	666	0.44370103	2.070149	0.0	0.0046203993	0.022	4751	tags=44%, list=24%, signal=56%	
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	Details ...	54	0.60865366	2.064202	0.0	0.004679294	0.025	6607	tags=80%, list=34%, signal=120%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	43	0.64482737	2.0500758	0.0	0.0050617047	0.03	2370	tags=51%, list=12%, signal=58%	
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	Details ...	85	0.5451118	2.0446918	0.0	0.004754242	0.031	6607	tags=62%, list=34%, signal=94%	
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY	Details ...	15	0.78553593	2.039391	0.0	0.0047802944	0.033	3823	tags=80%, list=20%, signal=99%	
