NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION	Details ...	195	0.50492567	2.3272192	0.0	0.0	0.0	3726	tags=51%, list=19%, signal=63%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Details ...	42	0.59245646	2.1599312	0.0	0.0033594773	0.006	3813	tags=60%, list=19%, signal=74%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	72	0.5200707	2.1274495	0.0	0.004853102	0.013	3636	tags=54%, list=19%, signal=66%	
REACTOME_CARDIAC_CONDUCTION	REACTOME_CARDIAC_CONDUCTION	Details ...	124	0.48254547	2.07716	0.0	0.006155798	0.022	3606	tags=49%, list=18%, signal=60%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	65	0.51996285	2.069342	0.0	0.005835224	0.026	3587	tags=52%, list=18%, signal=64%	
REACTOME_ELASTIC_FIBRE_FORMATION	REACTOME_ELASTIC_FIBRE_FORMATION	Details ...	44	0.57396	2.0310283	0.0	0.010246042	0.054	4036	tags=70%, list=21%, signal=88%	
REACTOME_ION_HOMEOSTASIS	REACTOME_ION_HOMEOSTASIS	Details ...	53	0.5315867	2.0105	0.0	0.012127613	0.074	3577	tags=55%, list=18%, signal=67%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	42	0.55660135	1.994212	0.0	0.013241184	0.091	3419	tags=62%, list=17%, signal=75%	
REACTOME_CGMP_EFFECTS	REACTOME_CGMP_EFFECTS	Details ...	16	0.71332324	1.9806523	0.0032258064	0.014876892	0.111	3282	tags=75%, list=17%, signal=90%	
REACTOME_PHYSIOLOGICAL_FACTORS	REACTOME_PHYSIOLOGICAL_FACTORS	Details ...	14	0.71882796	1.9567329	0.0	0.018071793	0.149	4054	tags=71%, list=21%, signal=90%	
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS	Details ...	41	0.5432861	1.950187	0.0	0.018576005	0.164	3419	tags=46%, list=17%, signal=56%	
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	Details ...	37	0.54298073	1.8960208	0.0	0.033355676	0.295	3622	tags=65%, list=18%, signal=79%	
REACTOME_PHASE_0_RAPID_DEPOLARISATION	REACTOME_PHASE_0_RAPID_DEPOLARISATION	Details ...	30	0.5654016	1.8950572	0.0	0.031040996	0.298	5002	tags=57%, list=25%, signal=76%	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	Details ...	38	0.5373378	1.8756487	0.0	0.037191194	0.364	3317	tags=50%, list=17%, signal=60%	
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	Details ...	22	0.61751294	1.8635987	0.007434944	0.041515402	0.418	3282	tags=73%, list=17%, signal=87%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	Details ...	82	0.455301	1.8404351	0.0	0.051182676	0.51	3809	tags=40%, list=19%, signal=50%	
REACTOME_PI_3K_CASCADE_FGFR1	REACTOME_PI_3K_CASCADE_FGFR1	Details ...	17	0.63527185	1.8306975	0.006802721	0.05519673	0.563	5487	tags=76%, list=28%, signal=106%	
