NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_NGF_STIMULATED_TRANSCRIPTION	REACTOME_NGF_STIMULATED_TRANSCRIPTION	Details ...	38	0.6922862	2.153066	0.0	0.0	0.0	3030	tags=45%, list=17%, signal=54%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	32	0.7140317	2.1303492	0.0	3.5529834E-4	0.001	3898	tags=75%, list=21%, signal=95%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	71	0.6089471	2.0932245	0.0	4.7205563E-4	0.002	3214	tags=46%, list=18%, signal=56%	
REACTOME_DIGESTION	REACTOME_DIGESTION	Details ...	13	0.82244444	2.0003016	0.0	0.0074813804	0.039	1821	tags=77%, list=10%, signal=85%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	284	0.4831326	1.9554383	0.0	0.014325136	0.093	3630	tags=37%, list=20%, signal=46%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Details ...	44	0.6224872	1.9541332	0.0	0.012659959	0.098	1074	tags=25%, list=6%, signal=27%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION	Details ...	16	0.7542982	1.919091	0.0	0.021520054	0.184	1821	tags=63%, list=10%, signal=69%	
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	Details ...	60	0.5723243	1.90885	0.0	0.022317516	0.21	3030	tags=30%, list=17%, signal=36%	
REACTOME_TRP_CHANNELS	REACTOME_TRP_CHANNELS	Details ...	22	0.6787021	1.875167	0.0016233766	0.03660825	0.356	3261	tags=50%, list=18%, signal=61%	
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	Details ...	21	0.69459975	1.867629	0.0	0.036541667	0.379	335	tags=24%, list=2%, signal=24%	
REACTOME_DIGESTION_OF_DIETARY_LIPID	REACTOME_DIGESTION_OF_DIETARY_LIPID	Details ...	6	0.92168516	1.8507092	0.0	0.04329927	0.455	54	tags=67%, list=0%, signal=67%	
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	Details ...	11	0.7645612	1.7941842	0.0034965035	0.09132777	0.755	2557	tags=73%, list=14%, signal=85%	
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	Details ...	9	0.81225073	1.7933391	0.0056390977	0.0849742	0.758	2208	tags=67%, list=12%, signal=76%	
REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES	REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES	Details ...	9	0.82363206	1.7930646	0.0034722222	0.07921916	0.76	335	tags=44%, list=2%, signal=45%	
