NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	84	-0.66863257	-2.55385	0.0	0.0	0.0	4920	tags=73%, list=27%, signal=100%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	66	-0.673278	-2.4781861	0.0	0.0	0.0	4920	tags=73%, list=27%, signal=100%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.62296295	-2.468909	0.0	0.0	0.0	5646	tags=74%, list=32%, signal=107%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	125	-0.60828924	-2.4666183	0.0	0.0	0.0	5646	tags=72%, list=32%, signal=104%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.6026421	-2.3594835	0.0	0.0	0.0	4387	tags=58%, list=25%, signal=77%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	87	-0.6118828	-2.326221	0.0	0.0	0.0	3950	tags=60%, list=22%, signal=76%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	-0.6767642	-2.3201013	0.0	0.0	0.0	3950	tags=64%, list=22%, signal=82%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	57	-0.6459757	-2.3108678	0.0	0.0	0.0	5013	tags=70%, list=28%, signal=97%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	42	-0.65817887	-2.2238457	0.0	0.0	0.0	1815	tags=33%, list=10%, signal=37%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	43	-0.65675557	-2.2166018	0.0	0.0	0.0	3072	tags=49%, list=17%, signal=59%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	39	-0.67720866	-2.210733	0.0	1.1157758E-4	0.001	2895	tags=46%, list=16%, signal=55%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	38	-0.6614444	-2.1958554	0.0	1.9857266E-4	0.002	2837	tags=50%, list=16%, signal=59%	
REACTOME_GENE_SILENCING_BY_RNA	REACTOME_GENE_SILENCING_BY_RNA	Details ...	101	-0.5494048	-2.1945834	0.0	1.8329783E-4	0.002	3922	tags=44%, list=22%, signal=55%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	32	-0.6927382	-2.1918986	0.0	1.7020512E-4	0.002	1595	tags=41%, list=9%, signal=45%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	34	-0.6892582	-2.187428	0.0	1.5885812E-4	0.002	1595	tags=41%, list=9%, signal=45%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	35	-0.66760147	-2.1802468	0.0	1.489295E-4	0.002	2837	tags=49%, list=16%, signal=58%	
REACTOME_BASE_EXCISION_REPAIR	REACTOME_BASE_EXCISION_REPAIR	Details ...	66	-0.5783663	-2.1799421	0.0	1.4016894E-4	0.002	3691	tags=44%, list=21%, signal=55%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Details ...	56	-0.6005589	-2.1545763	0.0	1.3238177E-4	0.002	4314	tags=55%, list=24%, signal=73%	
REACTOME_METALLOTHIONEINS_BIND_METALS	REACTOME_METALLOTHIONEINS_BIND_METALS	Details ...	9	-0.93876725	-2.1505682	0.0	1.8643514E-4	0.003	1021	tags=89%, list=6%, signal=94%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Details ...	45	-0.6168464	-2.1316848	0.0	1.7711338E-4	0.003	1580	tags=40%, list=9%, signal=44%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE		31	-0.679002	-2.1213586	0.0	3.4176372E-4	0.006	2837	tags=52%, list=16%, signal=61%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS		72	-0.55959815	-2.1076097	0.0	5.932476E-4	0.01	3922	tags=43%, list=22%, signal=55%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION		31	-0.6719862	-2.1056833	0.0	5.6745426E-4	0.01	2895	tags=55%, list=16%, signal=65%	
ARGININE DEGRADATION	ARGININE DEGRADATION		21	-0.71252286	-2.0877502	0.0	0.0010308009	0.02	4920	tags=81%, list=27%, signal=112%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION		76	-0.54918534	-2.0842128	0.0	9.895688E-4	0.02	4314	tags=43%, list=24%, signal=57%	
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS		85	-0.5429317	-2.0841782	0.0	9.5150847E-4	0.02	3072	tags=34%, list=17%, signal=41%	
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		74	-0.55479753	-2.0833085	0.0	9.6039264E-4	0.021	4314	tags=47%, list=24%, signal=62%	
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	REACTOME_PLASMA_LIPOPROTEIN_REMODELING		29	-0.6839096	-2.0729384	0.0	0.0011373074	0.026	618	tags=38%, list=3%, signal=39%	
REACTOME_TELOMERE_MAINTENANCE	REACTOME_TELOMERE_MAINTENANCE		87	-0.54022706	-2.0721982	0.0	0.00109809	0.026	3072	tags=37%, list=17%, signal=44%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION		47	-0.58795303	-2.043944	0.0	0.0015995991	0.04	1595	tags=28%, list=9%, signal=30%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES		55	-0.56423765	-2.03828	0.0	0.0016594636	0.043	1202	tags=24%, list=7%, signal=25%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS		11	-0.8681047	-2.037982	0.0	0.001644392	0.044	1021	tags=73%, list=6%, signal=77%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES		39	-0.6175327	-2.0249043	0.0	0.002152623	0.059	1828	tags=36%, list=10%, signal=40%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION		56	-0.56431335	-2.0229046	0.0	0.0022620107	0.064	3821	tags=45%, list=21%, signal=57%	
ARACHIDONATE SYNTHESIS	ARACHIDONATE SYNTHESIS		20	-0.71204484	-1.9916306	0.0	0.003462835	0.1	4920	tags=80%, list=27%, signal=110%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT		173	-0.46444857	-1.9675571	0.0	0.00490344	0.143	5646	tags=58%, list=32%, signal=84%	
TAURO-CHOLATE SYNTHESIS	TAURO-CHOLATE SYNTHESIS		26	-0.6503311	-1.9493726	0.003030303	0.006216254	0.178	4920	tags=73%, list=27%, signal=101%	
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		71	-0.536322	-1.9486426	0.0	0.006176448	0.182	3905	tags=38%, list=22%, signal=48%	
REACTOME_TRNA_PROCESSING	REACTOME_TRNA_PROCESSING		110	-0.4931497	-1.944867	0.0	0.006289504	0.19	4267	tags=43%, list=24%, signal=56%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS		77	-0.51245505	-1.9390731	0.0	0.0064774356	0.202	1273	tags=18%, list=7%, signal=19%	
REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES	REACTOME_UPTAKE_OF_DIETARY_COBALAMINS_INTO_ENTEROCYTES		8	-0.8732023	-1.9331471	0.0	0.0069980016	0.221	609	tags=50%, list=3%, signal=52%	
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH	REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH		68	-0.5189018	-1.9320265	0.0	0.0070534865	0.229	2895	tags=37%, list=16%, signal=44%	
REACTOME_CHYLOMICRON_ASSEMBLY	REACTOME_CHYLOMICRON_ASSEMBLY		8	-0.87425786	-1.9114075	0.0	0.00937744	0.301	1156	tags=75%, list=6%, signal=80%	
REACTOME_DIGESTION	REACTOME_DIGESTION		11	-0.797607	-1.9109415	0.0	0.009242049	0.301	601	tags=45%, list=3%, signal=47%	
REACTOME_CHYLOMICRON_REMODELING	REACTOME_CHYLOMICRON_REMODELING		7	-0.8951868	-1.9093342	0.0	0.009113219	0.302	1156	tags=86%, list=6%, signal=92%	
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING		18	-0.6897332	-1.8997874	0.0	0.009853495	0.323	4920	tags=72%, list=27%, signal=99%	
REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS	REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS		25	-0.63730454	-1.8888396	0.003125	0.011203471	0.366	3072	tags=52%, list=17%, signal=63%	
