NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	132	0.8786684	3.0057223	0.0	0.0	0.0	476	tags=39%, list=3%, signal=39%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	80	0.9280456	3.0008464	0.0	0.0	0.0	476	tags=68%, list=3%, signal=69%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	84	0.9265767	2.9850404	0.0	0.0	0.0	750	tags=70%, list=4%, signal=73%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	114	0.88598067	2.9744785	0.0	0.0	0.0	700	tags=51%, list=4%, signal=53%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	91	0.90730506	2.969037	0.0	0.0	0.0	992	tags=66%, list=6%, signal=69%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	141	0.8580855	2.9450986	0.0	0.0	0.0	700	tags=41%, list=4%, signal=42%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	85	0.91523206	2.9435573	0.0	0.0	0.0	476	tags=60%, list=3%, signal=61%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	162	0.84862846	2.938724	0.0	0.0	0.0	750	tags=37%, list=4%, signal=38%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	67	0.94189095	2.933059	0.0	0.0	0.0	476	tags=81%, list=3%, signal=82%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	75	0.92457896	2.9304047	0.0	0.0	0.0	662	tags=80%, list=4%, signal=83%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	69	0.9365154	2.927818	0.0	0.0	0.0	476	tags=74%, list=3%, signal=76%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	124	0.861899	2.9242256	0.0	0.0	0.0	992	tags=50%, list=6%, signal=53%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	84	0.9037292	2.916293	0.0	0.0	0.0	700	tags=64%, list=4%, signal=67%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	103	0.87757117	2.904241	0.0	0.0	0.0	665	tags=66%, list=4%, signal=68%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	59	0.95236516	2.8973618	0.0	0.0	0.0	476	tags=90%, list=3%, signal=92%	
