NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	68	0.6757971	2.4717517	0.0	0.0	0.0	2538	tags=53%, list=15%, signal=62%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	64	0.6667163	2.4153647	0.0	0.0	0.0	2538	tags=53%, list=15%, signal=62%	
REACTOME_NGF_STIMULATED_TRANSCRIPTION	REACTOME_NGF_STIMULATED_TRANSCRIPTION	Details ...	34	0.7624901	2.4070232	0.0	0.0	0.0	824	tags=32%, list=5%, signal=34%	
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	Details ...	56	0.6320119	2.1941106	0.0	3.608888E-4	0.002	1380	tags=23%, list=8%, signal=25%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.83188874	2.144189	0.0	7.104437E-4	0.005	609	tags=46%, list=4%, signal=48%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Details ...	9	0.90013456	2.08427	0.0	0.002112896	0.018	609	tags=67%, list=4%, signal=69%	
REACTOME_NPAS4_REGULATES_EXPRESSION_OF_TARGET_GENES	REACTOME_NPAS4_REGULATES_EXPRESSION_OF_TARGET_GENES	Details ...	21	0.7096744	2.0451572	0.0	0.004801607	0.045	718	tags=24%, list=4%, signal=25%	
REACTOME_CHOLESTEROL_BIOSYNTHESIS	REACTOME_CHOLESTEROL_BIOSYNTHESIS	Details ...	26	0.67676187	2.022976	0.0	0.0062993667	0.066	2375	tags=62%, list=14%, signal=71%	
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	Details ...	10	0.83684534	1.9885205	0.0022075055	0.010023454	0.117	159	tags=20%, list=1%, signal=20%	
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	Details ...	49	0.5585417	1.9356948	0.0	0.01977233	0.245	1703	tags=22%, list=10%, signal=25%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_NPAS4	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_NPAS4	Details ...	33	0.619976	1.933881	0.0	0.018612888	0.252	824	tags=18%, list=5%, signal=19%	
REACTOME_SIGNALING_BY_NTRKS	REACTOME_SIGNALING_BY_NTRKS	Details ...	126	0.4809321	1.9274622	0.0	0.018629128	0.269	843	tags=13%, list=5%, signal=14%	
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS	Details ...	11	0.79345006	1.8872986	0.0	0.030708682	0.431	2386	tags=64%, list=14%, signal=74%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	84	0.49100694	1.8829225	0.0	0.030405896	0.452	600	tags=15%, list=4%, signal=16%	
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS	Details ...	8	0.8541946	1.8629193	0.0	0.037783634	0.549	1224	tags=50%, list=7%, signal=54%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	87	0.4757846	1.8261563	0.0	0.05624168	0.719	600	tags=15%, list=4%, signal=15%	
REACTOME_CIRCADIAN_CLOCK	REACTOME_CIRCADIAN_CLOCK	Details ...	68	0.49024057	1.8061104	0.0	0.0696578	0.797	2367	tags=22%, list=14%, signal=26%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	0.5357203	1.797221	0.0	0.07331574	0.837	423	tags=16%, list=2%, signal=16%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Details ...	42	0.5307354	1.7553838	0.0069124424	0.11461656	0.953	2433	tags=36%, list=14%, signal=42%	
REACTOME_FOXO_MEDIATED_TRANSCRIPTION	REACTOME_FOXO_MEDIATED_TRANSCRIPTION	Details ...	61	0.4841578	1.7429005	0.0046838406	0.124533564	0.965	3220	tags=36%, list=19%, signal=44%	
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING		22	0.6131511	1.7088931	0.004454343	0.17119043	0.99	1356	tags=23%, list=8%, signal=25%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION		66	0.46491933	1.7050645	0.0023094688	0.17092243	0.992	423	tags=14%, list=2%, signal=14%	
