NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS	Details ...	68	0.64747727	2.4458506	0.0	0.0	0.0	3480	tags=51%, list=18%, signal=62%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	38	0.696827	2.3650148	0.0	0.0	0.0	3468	tags=50%, list=17%, signal=60%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	41	0.68536	2.3420486	0.0	0.0	0.0	3887	tags=63%, list=20%, signal=79%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	47	0.6359683	2.3377373	0.0	0.0	0.0	3887	tags=57%, list=20%, signal=71%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	61	0.6155639	2.2933044	0.0	0.0	0.0	3135	tags=41%, list=16%, signal=49%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS	Details ...	55	0.61147904	2.2811396	0.0	0.0	0.0	3940	tags=45%, list=20%, signal=57%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	63	0.59878314	2.2708168	0.0	0.0	0.0	2523	tags=33%, list=13%, signal=38%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	75	0.56123656	2.2335415	0.0	0.0	0.0	3509	tags=53%, list=18%, signal=65%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.861069	2.222319	0.0	0.0	0.0	141	tags=38%, list=1%, signal=39%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Details ...	42	0.6334275	2.2133064	0.0	0.0	0.0	5124	tags=64%, list=26%, signal=86%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	50	0.60228586	2.1862895	0.0	2.1790482E-4	0.002	3571	tags=42%, list=18%, signal=51%	
