NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	42	0.7208092	2.265111	0.0	0.0	0.0	1858	tags=55%, list=11%, signal=61%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	70	0.6343336	2.206063	0.0	0.0	0.0	1858	tags=41%, list=11%, signal=46%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	70	0.59594834	2.0487113	0.0	0.0015767443	0.007	4504	tags=70%, list=26%, signal=94%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	42	0.65275073	2.0480416	0.0	0.0011825582	0.007	3843	tags=62%, list=22%, signal=80%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	40	0.65695435	2.0375104	0.0	0.0012206362	0.009	3669	tags=63%, list=21%, signal=79%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	131	0.55049676	2.033691	0.0	0.0010171968	0.009	3897	tags=49%, list=23%, signal=63%	
REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION	Details ...	15	0.785834	2.0234232	0.0	0.001355364	0.014	2545	tags=80%, list=15%, signal=94%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	65	0.5877992	2.0206006	0.0	0.001357355	0.016	4475	tags=58%, list=26%, signal=79%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	19	0.7460145	2.0180023	0.0	0.001434507	0.019	2412	tags=68%, list=14%, signal=79%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	112	0.5505064	2.0175087	0.0	0.001359511	0.02	3966	tags=49%, list=23%, signal=63%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	33	0.661333	2.0100608	0.0	0.0014227208	0.023	1858	tags=48%, list=11%, signal=54%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	48	0.60512084	1.9848673	0.0	0.0024344365	0.042	4452	tags=75%, list=26%, signal=101%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	279	0.5021315	1.9747828	0.0	0.002721175	0.05	4164	tags=47%, list=24%, signal=60%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	106	0.53542185	1.9644922	0.0	0.0033031104	0.066	2888	tags=40%, list=17%, signal=47%	
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Details ...	104	0.53456706	1.9632031	0.0	0.003264882	0.07	2347	tags=37%, list=14%, signal=42%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	28	0.6630928	1.9602379	0.0	0.003273201	0.075	3330	tags=61%, list=19%, signal=75%	
REACTOME_GPCR_LIGAND_BINDING	REACTOME_GPCR_LIGAND_BINDING	Details ...	253	0.50134397	1.9596945	0.0	0.0031206391	0.076	3416	tags=40%, list=20%, signal=50%	
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	Details ...	176	0.5129566	1.9563414	0.0	0.0032488538	0.084	4503	tags=48%, list=26%, signal=65%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Details ...	87	0.54604065	1.9225302	0.0	0.0066580153	0.173	4704	tags=55%, list=27%, signal=76%	
REACTOME_DIGESTION	REACTOME_DIGESTION	Details ...	12	0.7941632	1.9190698	0.0	0.0068343873	0.187	2255	tags=83%, list=13%, signal=96%	
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS		38	0.6167873	1.918644	0.0	0.0065733753	0.188	3389	tags=50%, list=20%, signal=62%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS		64	0.5592353	1.90622	0.0012150669	0.007416854	0.217	3669	tags=48%, list=21%, signal=61%	
REACTOME_PEPTIDE_HORMONE_METABOLISM	REACTOME_PEPTIDE_HORMONE_METABOLISM		67	0.55613714	1.8959574	0.0	0.008424581	0.248	3486	tags=42%, list=20%, signal=52%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES		35	0.6131345	1.8643395	0.0	0.013631901	0.388	5387	tags=74%, list=31%, signal=108%	
