NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	61	0.83948123	2.8429992	0.0	0.0	0.0	1383	tags=67%, list=7%, signal=72%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	53	0.8526185	2.792245	0.0	0.0	0.0	1383	tags=68%, list=7%, signal=73%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	63	0.80846566	2.7870815	0.0	0.0	0.0	1383	tags=56%, list=7%, signal=60%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	61	0.82154465	2.7732608	0.0	0.0	0.0	2412	tags=72%, list=13%, signal=82%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	79	0.7723545	2.760127	0.0	0.0	0.0	1383	tags=46%, list=7%, signal=49%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	78	0.7813769	2.7593217	0.0	0.0	0.0	1515	tags=49%, list=8%, signal=53%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	74	0.775714	2.7171412	0.0	0.0	0.0	2048	tags=57%, list=11%, signal=63%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	126	0.71174544	2.7053463	0.0	0.0	0.0	1383	tags=29%, list=7%, signal=31%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	78	0.7480266	2.6455445	0.0	0.0	0.0	1383	tags=45%, list=7%, signal=48%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	89	0.7378552	2.6382282	0.0	0.0	0.0	869	tags=45%, list=5%, signal=47%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	108	0.7020418	2.625014	0.0	0.0	0.0	1585	tags=37%, list=8%, signal=40%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	156	0.6645931	2.6083226	0.0	0.0	0.0	1515	tags=26%, list=8%, signal=28%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	85	0.73608285	2.6022127	0.0	0.0	0.0	2412	tags=52%, list=13%, signal=59%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	145	0.6563071	2.5345135	0.0	0.0	0.0	2066	tags=34%, list=11%, signal=38%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	120	0.67720187	2.523978	0.0	0.0	0.0	1429	tags=34%, list=7%, signal=37%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	62	0.7484885	2.5236666	0.0	0.0	0.0	1383	tags=56%, list=7%, signal=61%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	135	0.6486955	2.4614725	0.0	0.0	0.0	1648	tags=31%, list=9%, signal=34%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	176	0.62070274	2.4598362	0.0	0.0	0.0	1383	tags=22%, list=7%, signal=23%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	70	0.7177401	2.43348	0.0	0.0	0.0	1383	tags=51%, list=7%, signal=55%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	97	0.66059226	2.379157	0.0	0.0	0.0	1585	tags=42%, list=8%, signal=46%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		166	0.59830445	2.3289008	0.0	0.0	0.0	1383	tags=31%, list=7%, signal=33%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL		158	0.58796406	2.2998114	0.0	0.0	0.0	2458	tags=44%, list=13%, signal=50%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		202	0.56132925	2.2704349	0.0	0.0	0.0	2797	tags=31%, list=15%, signal=36%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING		21	0.7712077	2.0429556	0.0	5.9902313E-4	0.017	2075	tags=67%, list=11%, signal=75%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES		52	0.6134388	2.0146537	0.0	8.827026E-4	0.026	853	tags=33%, list=4%, signal=34%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING		43	0.63634753	1.9989905	0.0	0.0010762571	0.033	1557	tags=33%, list=8%, signal=35%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION		92	0.5116472	1.860588	0.0	0.014184624	0.351	7524	tags=83%, list=39%, signal=135%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY		100	0.5044886	1.8599795	0.0	0.0137081975	0.351	7441	tags=81%, list=39%, signal=131%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES		32	0.6202077	1.8369908	0.0018248175	0.01944396	0.48	3552	tags=56%, list=18%, signal=69%	
REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION	REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION		6	0.9144453	1.7996942	0.0	0.033193607	0.694	1108	tags=33%, list=6%, signal=35%	
REACTOME_NGF_STIMULATED_TRANSCRIPTION	REACTOME_NGF_STIMULATED_TRANSCRIPTION		37	0.5818336	1.7939706	0.0018975332	0.035109393	0.725	3046	tags=38%, list=16%, signal=45%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN		13	0.7272067	1.7841389	0.0038387715	0.039277345	0.768	1017	tags=54%, list=5%, signal=57%	
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS		19	0.66532165	1.7480165	0.0054644807	0.06307389	0.91	42	tags=11%, list=0%, signal=11%	
REACTOME_GERM_LAYER_FORMATION_AT_GASTRULATION	REACTOME_GERM_LAYER_FORMATION_AT_GASTRULATION		12	0.7562985	1.7461596	0.005586592	0.06297214	0.916	1276	tags=42%, list=7%, signal=45%	
