NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	97	-0.8554367	-3.0920115	0.0	0.0	0.0	1764	tags=77%, list=9%, signal=85%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	71	-0.8961109	-3.0642216	0.0	0.0	0.0	1764	tags=92%, list=9%, signal=100%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	81	-0.87172085	-3.0549598	0.0	0.0	0.0	804	tags=64%, list=4%, signal=67%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	167	-0.7897176	-3.0514922	0.0	0.0	0.0	2103	tags=60%, list=11%, signal=67%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	110	-0.8292249	-3.0510852	0.0	0.0	0.0	835	tags=51%, list=4%, signal=53%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	63	-0.9024	-3.0451415	0.0	0.0	0.0	835	tags=83%, list=4%, signal=86%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	76	-0.873087	-3.0416343	0.0	0.0	0.0	835	tags=67%, list=4%, signal=70%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	63	-0.906811	-3.036502	0.0	0.0	0.0	835	tags=83%, list=4%, signal=86%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	88	-0.8544874	-3.0092146	0.0	0.0	0.0	835	tags=63%, list=4%, signal=65%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	80	-0.8584021	-2.9970412	0.0	0.0	0.0	809	tags=68%, list=4%, signal=70%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	159	-0.7865032	-2.9952893	0.0	0.0	0.0	2001	tags=65%, list=10%, signal=72%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	65	-0.8919303	-2.980964	0.0	0.0	0.0	804	tags=74%, list=4%, signal=77%	
