NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	-0.72897696	-2.8397634	0.0	0.0	0.0	2765	tags=64%, list=15%, signal=75%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	-0.7488484	-2.7090373	0.0	0.0	0.0	2765	tags=70%, list=15%, signal=82%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	-0.68925744	-2.699037	0.0	0.0	0.0	2911	tags=59%, list=15%, signal=70%	
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Details ...	54	-0.76624066	-2.65942	0.0	0.0	0.0	2369	tags=61%, list=12%, signal=70%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	176	-0.62183464	-2.6443465	0.0	0.0	0.0	2786	tags=49%, list=15%, signal=57%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	164	-0.618636	-2.615914	0.0	0.0	0.0	2850	tags=38%, list=15%, signal=45%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	-0.6842922	-2.5404768	0.0	0.0	0.0	2765	tags=62%, list=15%, signal=73%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	-0.6537988	-2.45579	0.0	0.0	0.0	2765	tags=56%, list=15%, signal=65%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	-0.6368073	-2.452386	0.0	0.0	0.0	2911	tags=53%, list=15%, signal=62%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	92	-0.62725264	-2.4329631	0.0	0.0	0.0	2765	tags=51%, list=15%, signal=59%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	69	-0.65473723	-2.431718	0.0	0.0	0.0	2765	tags=59%, list=15%, signal=69%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	77	-0.6557562	-2.4270656	0.0	0.0	0.0	2765	tags=58%, list=15%, signal=68%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	-0.66741127	-2.4147878	0.0	0.0	0.0	2765	tags=58%, list=15%, signal=67%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	36	-0.7431892	-2.3765895	0.0	0.0	0.0	2346	tags=58%, list=12%, signal=66%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	-0.57155436	-2.2878466	0.0	0.0	0.0	3219	tags=47%, list=17%, signal=57%	
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	Details ...	27	-0.7557499	-2.269384	0.0	0.0	0.0	1962	tags=56%, list=10%, signal=62%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	44	-0.6655945	-2.259212	0.0	0.0	0.0	3391	tags=61%, list=18%, signal=75%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	134	-0.54500437	-2.2535515	0.0	0.0	0.0	2765	tags=32%, list=15%, signal=37%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	25	-0.7589942	-2.2298002	0.0	4.784138E-5	0.001	2067	tags=60%, list=11%, signal=67%	
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	Details ...	40	-0.66587937	-2.2266102	0.0	4.544931E-5	0.001	2287	tags=43%, list=12%, signal=48%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION		91	-0.5831581	-2.2046874	0.0	4.3285057E-5	0.001	6209	tags=82%, list=33%, signal=122%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE		106	-0.5463439	-2.1923718	0.0	4.1317555E-5	0.001	2824	tags=48%, list=15%, signal=56%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION		129	-0.54096127	-2.1903954	0.0	3.952114E-5	0.001	2851	tags=44%, list=15%, signal=52%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS		143	-0.5243145	-2.1672316	0.0	7.659645E-5	0.002	3219	tags=42%, list=17%, signal=50%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		184	-0.5085561	-2.1309037	0.0	1.5101417E-4	0.004	2911	tags=31%, list=15%, signal=36%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING		201	-0.49007478	-2.1249695	0.0	1.8239484E-4	0.005	6963	tags=73%, list=37%, signal=113%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY		71	-0.5737994	-2.1249292	0.0	1.7563949E-4	0.005	2346	tags=37%, list=12%, signal=42%	
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY		97	-0.5485409	-2.1129708	0.0	1.6936664E-4	0.005	1962	tags=22%, list=10%, signal=24%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS		153	-0.4972076	-2.0762177	0.0	2.6316897E-4	0.008	2844	tags=37%, list=15%, signal=43%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD		113	-0.52532196	-2.0724037	0.0	2.5439667E-4	0.008	7317	tags=79%, list=39%, signal=127%	
REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING		119	-0.5094505	-2.0670536	0.0	2.772289E-4	0.009	1215	tags=19%, list=6%, signal=21%	
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING	REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING		25	-0.6969033	-2.0579278	0.0	3.283667E-4	0.011	2287	tags=48%, list=12%, signal=54%	
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS		37	-0.63554364	-2.0443444	0.0	4.6316546E-4	0.016	5189	tags=65%, list=27%, signal=89%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY		99	-0.5304364	-2.0373945	0.0	6.172105E-4	0.022	6209	tags=75%, list=33%, signal=110%	
